N,kappa,alpha,success_rate,n_gaps,mean_gap,alpha_star
101,0.0,0.4,1.0,240,0.7032,0.8330786
101,0.0,0.5,1.0,300,0.6622,0.8330786
101,0.0,0.55,1.0,336,0.7016,0.8330786
101,0.0,0.61,1.0,372,0.6505,0.8330786
101,0.0,0.67,1.0,408,0.6753,0.8330786
101,0.0,0.73,0.5,222,0.6721,0.8330786
101,0.0,0.79,0.333,160,0.6958,0.8330786
101,0.05,0.4,1.0,240,0.6976,0.7810743
101,0.05,0.5,1.0,300,0.6354,0.7810743
101,0.05,0.55,1.0,336,0.643,0.7810743
101,0.05,0.61,0.833,310,0.6156,0.7810743
101,0.05,0.67,0.667,272,0.7016,0.7810743
101,0.05,0.73,0.5,222,0.6415,0.7810743
101,0.05,0.79,0.167,80,0.6606,0.7810743
101,0.1,0.4,1.0,240,0.6781,0.7330167
101,0.1,0.5,1.0,300,0.6857,0.7330167
101,0.1,0.55,0.833,280,0.5944,0.7330167
101,0.1,0.61,1.0,372,0.6027,0.7330167
101,0.1,0.67,0.333,136,0.6744,0.7330167
101,0.1,0.73,0.333,148,0.6266,0.7330167
101,0.1,0.79,0.0,0,,0.7330167
