kappa_lo,lambda_margin
-0.65,0.04001781417157304
-0.6495,0.0400858891452629
-0.649,0.040153966087779935
-0.6485,0.040222030859277565
-0.648,0.040290105028026046
-0.6475,0.040358172081655125
-0.647,0.04042623265670483
-0.6465,0.04049430024620269
-0.646,0.04056235791908346
-0.6455,0.04063041717353993
-0.645,0.04069846709272324
-0.6445,0.04076652011758854
-0.644,0.04083457469447886
-0.6435,0.04090261952010042
-0.643,0.04097066845287575
-0.6425,0.04103870282032581
-0.642,0.041106749551178934
-0.6415,0.041174787404979964
-0.641,0.04124282313124415
-0.6405,0.04131085429522964
-0.64,0.04137888216279134
-0.6395,0.041446911935079635
-0.639,0.04151493197010235
-0.6385,0.0415829577910926
-0.638,0.04165097806509548
-0.6375,0.041718995891959085
-0.637,0.04178700953965323
-0.6365,0.04185502021292697
-0.636,0.04192303209803716
-0.6355,0.0419910370782613
-0.635,0.042059043764196474
-0.6345,0.04212704163107954
-0.634,0.04219504019351048
-0.6335,0.04226303690704292
-0.633,0.04233102370342391
-0.6325,0.04239902325388987
-0.632,0.04246700431252036
-0.6315,0.0425349925321394
-0.631,0.04260297547729368
-0.6305,0.042670955511719295
-0.63,0.04273892915875589
-0.6295,0.042806900707359
-0.629,0.042874874011795815
-0.6285,0.04294283867849998
-0.628,0.043010805617386585
-0.6275,0.0430787669651739
-0.627,0.04314672960116236
-0.6265,0.04321468442297816
-0.626,0.04328263240796444
-0.6255,0.043350588156038046
-0.625,0.043418530034282546
-0.6245,0.04348647489483305
-0.624,0.043554414000697816
-0.6235,0.04362235656540084
-0.623,0.0436902891784284
-0.6225,0.04375821977854164
-0.622,0.043826154473334614
-0.6215,0.04389407642366637
-0.621,0.043961998800697115
-0.6205,0.04402991670575367
-0.62,0.04409783814656313
-0.6195,0.044165750779069785
-0.619,0.04423365821141035
-0.6185,0.04430156277438037
-0.618,0.04436946849432416
-0.6175,0.04443736599475861
-0.617,0.04450526808116882
-0.6165,0.044573161020156946
-0.616,0.04464105714154334
-0.6155,0.04470893821489011
-0.615,0.04477682388381918
-0.6145,0.044844708852653146
-0.614,0.04491258484485265
-0.6135,0.04498046334235817
-0.613,0.045048332938941484
-0.6125,0.04511620275463862
-0.612,0.04518406493432894
-0.6115,0.04525192795992656
-0.611,0.0453197846441989
-0.6105,0.04538763664381891
-0.61,0.045455491196021984
-0.6095,0.04552333494060108
-0.609,0.04559118106171091
-0.6085,0.04565902654793382
-0.608,0.045726858387324015
-0.6075,0.04579469101508335
-0.607,0.04586252596662991
-0.6065,0.04593035251326857
-0.606,0.04599817484492758
-0.6055,0.046065993201424044
-0.605,0.04613381130104123
-0.6045,0.04620162487213763
-0.604,0.046269438461296934
-0.6035,0.046337237862281735
-0.603,0.04640504197383795
-0.6025,0.04647284247386218
-0.602,0.04654063652030363
-0.6015,0.046608431277051804
-0.601,0.04667621802405961
-0.6005,0.04674400320042591
-0.6,0.046811784640904235
-0.5995,0.04687956280336258
-0.599,0.046947334890135875
-0.5985,0.04701510256279526
-0.598,0.04708287002281996
-0.5975,0.04715062993122494
-0.597,0.04721839179875369
-0.5965,0.04728614745087568
-0.596,0.04735389255454061
-0.5955,0.04742164566408483
-0.595,0.04748938816064253
-0.5945,0.04755713071689135
-0.594,0.04762486157218822
-0.5935,0.04769259205627227
-0.593,0.04776032512565199
-0.5925,0.04782804529557548
-0.592,0.047895769666451156
-0.5915,0.047963480335192626
-0.591,0.04803120163513167
-0.5905,0.04809890685270206
-0.59,0.048166613441514496
-0.5895,0.04823431645995636
-0.589,0.04830200568871293
-0.5885,0.04836970701071971
-0.588,0.04843739143687595
-0.5875,0.048505078367616
-0.587,0.048572760020079625
-0.5865,0.04864043470572136
-0.586,0.04870811309192849
-0.5855,0.048775777365766736
-0.585,0.04884344652564953
-0.5845,0.048911106978698854
-0.584,0.04897875961959875
-0.5835,0.04904642241155235
-0.583,0.04911406452886115
-0.5825,0.04918171557968968
-0.582,0.049249353158500986
-0.5815,0.04931698754217719
-0.581,0.04938462665076919
-0.5805,0.049452250232583456
-0.58,0.04951987711302666
-0.5795,0.04958749555053908
-0.579,0.049655109968546544
-0.5785,0.0497227263694144
-0.578,0.04979032953507838
-0.5775,0.049857934681955735
-0.577,0.04992552928152024
-0.5765,0.04999312927126811
-0.576,0.05006071896828294
-0.5755,0.05012830704993773
-0.575,0.05019588845584385
-0.5745,0.05026346418960496
-0.574,0.05033104328560614
-0.5735,0.050398605883331705
-0.573,0.05046617672298023
-0.5725,0.05053373443819105
-0.572,0.05060129161801668
-0.5715,0.05066884501710967
-0.571,0.05073639019604936
-0.5705,0.05080393432276437
-0.57,0.05087147690116694
-0.5695,0.05093900873095856
-0.569,0.05100653536419139
-0.5685,0.05107405998387551
-0.568,0.05114158523432471
-0.5675,0.051209099365924174
-0.567,0.05127661757264335
-0.5665,0.05134412305534769
-0.566,0.051411624491660673
-0.5655,0.05147912608803469
-0.565,0.05154661493241124
-0.5645,0.051614108630545136
-0.564,0.05168159768592725
-0.5635,0.05174907273698046
-0.563,0.051816553615468455
-0.5625,0.0518840173892305
-0.562,0.051951495708804384
-0.5615,0.05201894938568947
-0.561,0.05208641085399781
-0.5605,0.05215386874052329
-0.56,0.05222131359696059
-0.5595,0.05228876291123207
-0.559,0.052356197168534804
-0.5585,0.05242363425775928
-0.558,0.052491059901762824
-0.5575,0.052558482822085764
-0.557,0.05262591129824865
-0.5565,0.05269332589531199
-0.556,0.0527607407833848
-0.5555,0.052828141580007995
-0.555,0.05289554378292132
-0.5545,0.05296294375650215
-0.554,0.05303033479121803
-0.5535,0.05309772469118729
-0.553,0.05316511038092376
-0.5525,0.05323248337259777
-0.552,0.05329985630139955
-0.5515,0.053367223461598785
-0.551,0.05343458871151571
-0.5505,0.05350194747301846
-0.55,0.05356930970494744
-0.5495,0.053636654364039776
-0.549,0.05370400101744602
-0.5485,0.05377133734298405
-0.548,0.05383866810211794
-0.5475,0.05390600252296347
-0.547,0.05397332846058086
-0.5465,0.05404064688731004
-0.546,0.05410796091488976
-0.5455,0.054175273888537295
-0.545,0.05424257863124863
-0.5445,0.05430987740899465
-0.544,0.05437717486707481
-0.5435,0.05444446780992112
-0.543,0.054511749483066994
-0.5425,0.054579028418048785
-0.542,0.054646304103030195
-0.5415,0.05471357550553611
-0.541,0.05478084163652542
-0.5405,0.05484810039202443
-0.54,0.054915362409232935
-0.5395,0.05498260679621665
-0.539,0.05504985413970057
-0.5385,0.055117092760133025
-0.538,0.05518432520338128
-0.5375,0.055251557157016774
-0.537,0.05531878236312498
-0.5365,0.055386008055961514
-0.536,0.05545321841451937
-0.5355,0.05552043067056381
-0.535,0.05558762965955292
-0.5345,0.055654831795720325
-0.534,0.055722023677940755
-0.5335,0.055789215822412516
-0.533,0.05585639802792755
-0.5325,0.05592357811458745
-0.532,0.05599074721879036
-0.5315,0.05605791625977593
-0.531,0.05612507706011467
-0.5305,0.05619224074055689
-0.53,0.056259395356848305
