N,kappa,alpha,success_rate,n_gaps,mean_gap,alpha_star
201,0.0,0.61,1.0,738,0.6687,0.8330786
201,0.0,0.67,0.833,675,0.7102,0.8330786
201,0.0,0.73,0.167,147,0.7745,0.8330786
201,0.0,0.79,0.0,0,,0.8330786
201,0.1,0.61,0.667,492,0.6582,0.7330167
201,0.1,0.67,0.333,270,0.6713,0.7330167
201,0.1,0.73,0.0,0,,0.7330167
201,0.1,0.79,0.0,0,,0.7330167
