N,kappa,alpha,success_rate,n_gaps,mean_gap,alpha_star
201,0.0,0.7,0.833,705,0.6895,0.8330786
201,0.0,0.73,0.5,441,0.6957,0.8330786
201,0.0,0.76,0.333,306,0.7142,0.8330786
201,0.0,0.79,0.0,0,,0.8330786
