kappa,alpha,q,psi,gamma,kb,ElogPsi,PRprime,amp_works,lambda0,z0,fp_iters,newton_iters,dG_dq,dG_dpsi,alpha_annealed,alpha_sph,seconds
0.0,0.8330785997395792336890869,0.5639490800845616362604697,2.576351319075674572074223,1.137237947273235150755351,0.0,-1.086778019848310113572558,0.743523987986706297662662,0.544359825971977368684138,-0.1909966346446027013287368,-0.6693157475002984408973816,9,3,-6.261583435191781205455595e-20,4.930380657631323783823304e-22,1.0,2.0,36.8
0.05,0.7810743282532176875704236,0.5720535360129931123663792,2.702759269059167722644984,1.156175111028168757461841,0.07643201043020192520682218,-1.172827117031594109324748,0.7506981553147043521468738,0.539150863184933179427811,-0.1982103578798449249516357,-0.6824369392419391697757192,9,5,-6.853229114107540059514392e-20,4.930380657631323783823304e-22,0.9445459217346158007455097,1.847879429314194325656935,50.0
0.1,0.7330166679897558687611454,0.5800041192022566958411946,2.834051840016341309112277,1.175149238466383797521987,0.1543041066423094836992992,-1.264729618528917129058801,0.7577564605108352149932733,0.5338542104653717280702831,-0.2056278037517910087932467,-0.6954206611275965723706349,9,5,-7.444874793023298913573188e-20,0.0,0.8930529910564164207148503,1.709631500248350839062531,47.1
0.15,0.6885630767030615676973406,0.5878038003248602409876843,2.970408574788390341237967,1.194164628462611428659675,0.2336357337761136504964538,-1.362814291214527627557837,0.7646956439493312409581221,0.5284804016219631200263835,-0.2132381967978002542481266,-0.7082302066714869273056365,9,5,-8.184431891667997481146684e-20,4.930380657631323783823304e-22,0.8451859498383045896658798,1.583829756841048438639705,59.9
0.2,0.6474040338574046075741747,0.5954554952865913439454352,3.112015735636409537182819,1.213225418530927448923857,0.3144465561057741383752869,-1.467424045185901200278925,0.7715127721450294785842625,0.5230394211263211757217203,-0.2210299585981623674538701,-0.7208306624942630431718271,10,5,-8.874685183736382810881946e-20,4.930380657631323783823304e-22,0.8006417200556447345810328,1.469208396658222528772625,84.0
0.25,0.6092595656912762905949028,0.6029620601663375013684076,3.259066438172641459306813,1.232335583119176691357233,0.396756457841400582465377,-1.578916313788445984825689,0.7782052327028838120865033,0.5175407372774634678312938,-0.2289907595315772049386392,-0.7331892396262618074587181,10,5,-9.663546088957394616293675e-20,4.930380657631323783823304e-22,0.7591459934841553414487867,1.364642787247546479289009,61.1
0.3,0.5738761647983593323400484,0.610326287515058549521745,3.411760782689108370421976,1.251498932252778721083367,0.4805855407403411154670971,-1.697663432500297517828841,0.7847707278308722903160602,0.5119933324929746413244298,-0.2371075844407255833274383,-0.7452755815329443169758861,10,5,-1.04524069941784064217054e-19,0.0,0.7204502132934162238633067,1.269132497900071930589403,54.1
0.35,0.5410240563115155404748488,0.6175509038024225297284579,3.57030598207123734067097,1.270719110443308522635398,0.5659541187778516221053405,-1.824053015855040680770123,0.7912072666925388566838089,0.5064057309627731627399335,-0.2453668110074775039237075,-0.7570620393431829189268001,9,6,-1.143848312570467117847006e-19,-4.930380657631323783823304e-22,0.6843288993255074180969091,1.181786503950121201921362,76.8
0.4,0.5104947689605392468396057,0.6246385678299331907087087,3.734916485461212136114851,1.289999595795950326901282,0.6528827100977590108654401,-1.958488331527195887488343,0.79751315683007199514967,0.5007860238860805493350449,-0.2537542992798732667247629,-0.7685239055670341432602299,9,6,-1.242455925723093593523472e-19,-9.860761315262647567646607e-22,0.6505772751370095038924525,1.10181026983498720868002,57.1
0.45,0.4820989746151364703191234,0.6315918699553928828990151,3.905814096816600216688614,1.30934369926569609417992,0.741392026439705154559234,-2.101388670653170621836867,0.8036869948508019061967016,0.4951418924970541684528712,-0.2622554904701358232724345,-0.7796395988823978502324508,9,6,-1.341063538875720069199939e-19,-9.860761315262647567646607e-22,0.6190091603078138900773001,1.02849445881969682291788,49.8
