kappa,alpha_star,params_per_robust_label,alpha_spherical,binary_over_spherical,alpha_annealed,alpha_over_annealed
-2.0,29.992083209315215,0.033342132089357865,173.34847870033292,0.1730161316336814,30.119928369402952,0.9957554626784038
-1.95,26.604959781879895,0.03758697657122865,149.76833044293772,0.1776407582510675,26.740625747618964,0.99492659719262
-1.9,23.645858901081358,0.04229070317062023,129.64631857003485,0.18238743037125177,23.789285832022237,0.9939709442328943
-1.85,21.05572474816985,0.04749302206217904,112.44395918957093,0.18725527720588078,21.20678414077308,0.9928768364123254
-1.8,18.784245900505642,0.05323610036286214,97.71094430035389,0.19224300854942827,18.94274129295494,0.9916329220782716
-1.75,16.788484940243862,0.05956463633016038,85.07006122746228,0.19734892273504337,16.954154546236694,0.9902283770304781
-1.7,15.031732920866743,0.06652592919688059,74.20479219149935,0.20257091862847001,15.204254031692011,0.9886531025813129
-1.65,13.482550311527326,0.07416994388257679,64.84910103120247,0.20790651060899257,13.66154520623631,0.9868979026891281
-1.6,12.113962849301007,0.08254936988334098,56.7790076473901,0.2133528455539648,12.299005883908977,0.984954634841661
-1.55,10.902786278587035,0.09171967370982867,49.805626019629905,0.21890672098549502,11.093411790205124,0.9828163314205643
-1.5,9.829058488476562,0.10173914431096169,43.769402326442844,0.22456460371949002,10.024769147310343,0.9804772902041051
-1.45,8.875561268490566,0.11266893098356881,38.535338684491215,0.2303226485475938,9.075836534376831,0.977933134303634
-1.4,8.02741694742288,0.12457307332479343,33.98902762725366,0.23617671665859014,8.231721330671654,0.9751808431017303
-1.35,7.271747684500603,0.13751852283481372,30.033354514508087,0.24212239365362503,7.479538565501899,0.9722187566543615
-1.3,6.597387247041976,0.15157515582374873,26.5857510735887,0.2481550071231981,6.808122068347914,0.9690465565701768
-1.25,5.9946368147135205,0.16681577732041292,23.575904399517057,0.25426964383331646,6.207779517474853,0.9656652266464463
-1.2,5.455057762122079,0.18331611572358286,20.94384292664139,0.26046116661727975,5.670084391848111,0.9620769965901784
-1.15,4.971295541188818,0.20115480798006702,18.63833488544192,0.2667242310938307,5.187698993394431,0.9582852720481349
-1.1,4.536929755100707,0.2204133751190959,16.615546181848295,0.2730533023378485,4.75422366841675,0.9542945539648103
-1.05,4.146346321376475,0.24117618801992088,14.837913971086108,0.2794426716219174,4.364068154048491,0.9501103500251163
-1.0,3.794628291219359,0.26353042333921506,13.273199837024512,0.28588647333060957,4.012341637202948,0.9457390806493338
-0.95,3.477462449305569,0.28756600957680933,11.893692748471006,0.2923787021278664,3.6947586633823835,0.9411879817130221
-0.9,3.1910592818107792,0.31337556331217575,10.67553710210916,0.29891323043412243,3.407558490475448,0.9364650058774306
