kappa=+0.1000 alpha=0.73301666799 q=0.5800041192 psi=2.83405184
kappa=+0.1005 alpha=0.732554833901 q=0.5800828581 psi=2.835390035
kappa=+0.1010 alpha=0.732093359619 q=0.5801615819 psi=2.836728736
kappa=+0.1015 alpha=0.731632244819 q=0.5802402906 psi=2.838067945
kappa=+0.1020 alpha=0.731171489179 q=0.5803189842 psi=2.83940766
kappa=+0.1025 alpha=0.730711092372 q=0.5803976627 psi=2.840747882
kappa=+0.1030 alpha=0.730251054077 q=0.5804763262 psi=2.842088612
kappa=+0.1035 alpha=0.729791373969 q=0.5805549746 psi=2.843429848
kappa=+0.1040 alpha=0.729332051725 q=0.5806336079 psi=2.844771593
kappa=+0.1045 alpha=0.728873087023 q=0.5807122262 psi=2.846113845
kappa=+0.1050 alpha=0.728414479541 q=0.5807908293 psi=2.847456606
kappa=+0.1055 alpha=0.727956228957 q=0.5808694175 psi=2.848799875
kappa=+0.1060 alpha=0.727498334948 q=0.5809479906 psi=2.850143652
kappa=+0.1065 alpha=0.727040797194 q=0.5810265486 psi=2.851487937
kappa=+0.1070 alpha=0.726583615373 q=0.5811050916 psi=2.852832731
kappa=+0.1075 alpha=0.726126789165 q=0.5811836195 psi=2.854178035
kappa=+0.1080 alpha=0.72567031825 q=0.5812621323 psi=2.855523847
kappa=+0.1085 alpha=0.725214202307 q=0.5813406302 psi=2.856870169
kappa=+0.1090 alpha=0.724758441017 q=0.581419113 psi=2.858217
kappa=+0.1095 alpha=0.72430303406 q=0.5814975807 psi=2.85956434
kappa=+0.1100 alpha=0.723847981117 q=0.5815760335 psi=2.860912191
kappa=+0.1105 alpha=0.72339328187 q=0.5816544712 psi=2.862260552
kappa=+0.1110 alpha=0.722938935999 q=0.5817328938 psi=2.863609423
kappa=+0.1115 alpha=0.722484943188 q=0.5818113015 psi=2.864958804
kappa=+0.1120 alpha=0.722031303118 q=0.5818896941 psi=2.866308696
kappa=+0.1125 alpha=0.721578015471 q=0.5819680717 psi=2.867659098
kappa=+0.1130 alpha=0.721125079931 q=0.5820464343 psi=2.869010012
kappa=+0.1135 alpha=0.72067249618 q=0.5821247818 psi=2.870361437
kappa=+0.1140 alpha=0.720220263903 q=0.5822031144 psi=2.871713373
kappa=+0.1145 alpha=0.719768382783 q=0.5822814319 psi=2.87306582
kappa=+0.1150 alpha=0.719316852503 q=0.5823597345 psi=2.874418779
kappa=+0.1155 alpha=0.71886567275 q=0.582438022 psi=2.875772251
kappa=+0.1160 alpha=0.718414843207 q=0.5825162946 psi=2.877126234
kappa=+0.1165 alpha=0.717964363559 q=0.5825945521 psi=2.878480729
kappa=+0.1170 alpha=0.717514233492 q=0.5826727947 psi=2.879835737
kappa=+0.1175 alpha=0.717064452691 q=0.5827510222 psi=2.881191257
kappa=+0.1180 alpha=0.716615020843 q=0.5828292348 psi=2.882547291
kappa=+0.1185 alpha=0.716165937634 q=0.5829074324 psi=2.883903837
kappa=+0.1190 alpha=0.715717202751 q=0.582985615 psi=2.885260896
kappa=+0.1195 alpha=0.71526881588 q=0.5830637827 psi=2.886618469
kappa=+0.1200 alpha=0.714820776709 q=0.5831419353 psi=2.887976556
kappa=+0.1205 alpha=0.714373084926 q=0.583220073 psi=2.889335156
kappa=+0.1210 alpha=0.713925740218 q=0.5832981957 psi=2.89069427
kappa=+0.1215 alpha=0.713478742274 q=0.5833763035 psi=2.892053898
kappa=+0.1220 alpha=0.713032090783 q=0.5834543963 psi=2.89341404
kappa=+0.1225 alpha=0.712585785432 q=0.5835324741 psi=2.894774697
kappa=+0.1230 alpha=0.712139825912 q=0.583610537 psi=2.896135868
kappa=+0.1235 alpha=0.711694211912 q=0.5836885849 psi=2.897497555
kappa=+0.1240 alpha=0.711248943121 q=0.5837666178 psi=2.898859756
kappa=+0.1245 alpha=0.71080401923 q=0.5838446359 psi=2.900222473
kappa=+0.1250 alpha=0.71035943993 q=0.5839226389 psi=2.901585705
kappa=+0.1255 alpha=0.70991520491 q=0.5840006271 psi=2.902949452
kappa=+0.1260 alpha=0.709471313863 q=0.5840786002 psi=2.904313716
kappa=+0.1265 alpha=0.709027766479 q=0.5841565585 psi=2.905678495
kappa=+0.1270 alpha=0.70858456245 q=0.5842345018 psi=2.90704379
kappa=+0.1275 alpha=0.708141701469 q=0.5843124302 psi=2.908409602
kappa=+0.1280 alpha=0.707699183226 q=0.5843903436 psi=2.90977593
kappa=+0.1285 alpha=0.707257007417 q=0.5844682422 psi=2.911142775
kappa=+0.1290 alpha=0.706815173732 q=0.5845461258 psi=2.912510137
kappa=+0.1295 alpha=0.706373681865 q=0.5846239944 psi=2.913878016
kappa=+0.1300 alpha=0.70593253151 q=0.5847018482 psi=2.915246413
kappa=+0.1305 alpha=0.705491722361 q=0.5847796871 psi=2.916615326
kappa=+0.1310 alpha=0.705051254112 q=0.584857511 psi=2.917984758
kappa=+0.1315 alpha=0.704611126457 q=0.58493532 psi=2.919354707
kappa=+0.1320 alpha=0.704171339091 q=0.5850131142 psi=2.920725174
kappa=+0.1325 alpha=0.703731891709 q=0.5850908934 psi=2.922096159
kappa=+0.1330 alpha=0.703292784007 q=0.5851686577 psi=2.923467663
kappa=+0.1335 alpha=0.70285401568 q=0.5852464072 psi=2.924839685
kappa=+0.1340 alpha=0.702415586425 q=0.5853241417 psi=2.926212227
kappa=+0.1345 alpha=0.701977495937 q=0.5854018613 psi=2.927585287
kappa=+0.1350 alpha=0.701539743913 q=0.5854795661 psi=2.928958866
kappa=+0.1355 alpha=0.701102330051 q=0.585557256 psi=2.930332964
kappa=+0.1360 alpha=0.700665254046 q=0.585634931 psi=2.931707582
kappa=+0.1365 alpha=0.700228515598 q=0.5857125911 psi=2.93308272
kappa=+0.1370 alpha=0.699792114404 q=0.5857902363 psi=2.934458378
kappa=+0.1375 alpha=0.699356050161 q=0.5858678667 psi=2.935834556
kappa=+0.1380 alpha=0.698920322569 q=0.5859454822 psi=2.937211254
kappa=+0.1385 alpha=0.698484931326 q=0.5860230828 psi=2.938588472
