kappa,alpha,q,psi,gamma,kb,ElogPsi,PRprime,amp_works,lambda0,z0,fp_iters,newton_iters,dG_dq,dG_dpsi,alpha_annealed,alpha_sph,seconds
-1.05,4.14634632137647503431396,0.3532977366425585017112719,0.7964620462586035410264615,0.7391255873793924701379789,-1.305681072810516946845299,-0.1800431324866822297219342,0.5747697280872093391373347,0.6063528568504241463205753,-0.09770308686430996629959335,-0.4302408868371403531938313,9,5,-9.367723249499515189264277e-21,-4.930380657631323783823304e-22,4.364068154048490866370646,14.83791397108610640455632,38.1
-1.1,4.536929755100706781323601,0.3412268627875062309165037,0.7440231984685977740969809,0.7197035847050899560551373,-1.355266627753816373712825,-0.1635189478311393970950107,0.566310316374397993484926,0.6051785242588876035244665,-0.09635298778839983166927293,-0.423517334736047951437854,9,5,-8.381647117973250432499616e-21,0.0,4.754223668416749620018143,16.61554618184828968754631,58.8
-1.15,4.97129554118881749483276,0.3289901098751528672132919,0.6938974157021828625784345,0.7002078261170178537306527,-1.403890966983075605862705,-0.1483469660758086041922599,0.5578297861114567724527155,0.6033881498547855655276399,-0.0953209212890966010497355,-0.4174395337417352731534947,9,5,-7.395570986446985675734955e-21,4.930380657631323783823304e-22,5.187698993394432282714205,18.63833488544192577746774,165.9
-1.2,5.455057762122079374365711,0.3165983127150668507643481,0.6460290670184296772412319,0.6806381293820708456291386,-1.451587509922486017231527,-0.1344306636878558566958641,0.5493210796845375009557643,0.6009391766738951709687121,-0.0946176064701491728930916,-0.4120318909365599022720517,9,5,-6.902532920683853297352625e-21,0.0,5.670084391848111966444428,20.94384292664139305226664,243.2
-1.25,5.994636814713520697040816,0.3040648503547291952388835,0.6003661646333083299197948,0.6609958357977005138225124,-1.498392625731560313110676,-0.1216792676419164975499922,0.540773778003108437902508,0.5977873756915276314746987,-0.09425581615603063772679601,-0.4073184795620823503981001,9,5,-6.409494854920720918970295e-21,0.0,6.207779517474852920425832,23.57590439951705890194972,175.6
-1.3,6.597387247041975860254362,0.2914059653751415217690276,0.55686014075782396525214,0.6412841013371133901416108,-1.544345995779733294175546,-0.1100074965764257903029694,0.5321735908386515524976722,0.5938871624958165111209417,-0.09425063730509192989675155,-0.4033230879819891381288244,9,5,-5.916456789157588540587964e-21,0.0,6.808122068347914171112685,26.58575107358869510180675,155.3
-1.35,7.271747684500603555343873,0.2786410863260422794274925,0.5154655761675216579838174,0.6215082186262326703616829,-1.589490977941323324275031,-0.09933530905873353454223442,0.5235018487624422972437398,0.5891920577698106786897403,-0.09461973235211813815466064,-0.4000692315680955797319029,9,5,-5.916456789157588540587964e-21,0.0,7.479538565501898446400531,30.03335451450808185129479,94.9
-1.4,8.027416947422880623336754,0.2657931388143332230940626,0.4761398695039459257504039,0.6016759655677913246080663,-1.633874957388780918697103,-0.08958765897741653797257308,0.5147350287891449812884186,0.583655324244629103072488,-0.09538359276957856761375385,-0.3975801160600061283645346,9,5,-5.423418723394456162205634e-21,4.930380657631323783823304e-22,8.231721330671654827346213,33.9890276272536729892864,51.8
-1.45,8.875561268490566533601822,0.2528888254822718475303454,0.4388428359753693207923794,0.581797972710245935359274,-1.677549663171586624088803,-0.08069425805107582081378907,0.5058443583764028414878928,0.5772308144470431432428663,-0.0965657725343721488056736,-0.3958785396988529416972824,9,5,-4.437342591868191405440973e-21,0.0,9.075836534376833535550454,38.53533868449122112270331,48.6
-1.5,9.829058488476562343567189,0.2399588492609574082005831,0.4035362247744148220555037,0.5618880966769803757211113,-1.720571423879688640452962,-0.07258934540629737730516352,0.4967955566276038794348708,0.5698740624047196890843991,-0.09819308489235004560815663,-0.3949867206170422750943771,9,5,-3.944304526105059027058643e-21,9.860761315262647567646607e-22,10.0247691473103414599969,43.76940232644284127158029,46.8
-1.55,10.90278627858703458657777,0.2270380483608528094805834,0.3701831466483421854063578,0.5419637811800149536695304,-1.763001329584447948710068,-0.06521146413270702437445364,0.4875487861743662408459932,0.5615436469179733781675706,-0.1002957409937216536950353,-0.3949260359708457048810715,9,5,-3.451266460341926648676312e-21,4.930380657631323783823304e-22,11.09341179020512306354061,49.80562601962989843815138,48.5
-1.6,12.11396284930100730163266,0.2141654063068370692997522,0.3387474071769572927694052,0.5220463806236676736482576,-1.80490526183980485838034,-0.05850324467072335313085284,0.4780589020887384029177608,0.5522028422428809391296105,-0.1029074039993372050411731,-0.3957166606306953351435141,9,5,-3.451266460341926648676312e-21,4.930380657631323783823304e-22,12.29900588390897492005803,56.77900764739008992637841,45.9
-1.65,13.48255031152732661097189,0.201383897168586944144969,0.3091927479234966114691059,0.502161414663574108472545,-1.846353750005986854886156,-0.05241119483030274030803219,0.4682760919460225273110107,0.5418215522639505672140121,-0.1060651277704366721523098,-0.3973770964648985337674958,9,5,-3.451266460341926648676312e-21,4.930380657631323783823304e-22,13.6615452062363130365994,64.84910103120248097040248,51.1
-1.7,15.03173292086674315638738,0.1887401265540892795078279,0.2814820070183680754819062,0.482338716335891882834416,-1.887421612075385441745584,-0.04688549618218580055704521,0.4581469993459626637490679,0.5303784951766807956075242,-0.1098091462017770687876165,-0.3999235889185266774603633,9,5,-2.465190328815661891911652e-21,1.479114197289397135146991e-21,15.20425403169201261032781,74.20479219149936169464338,48.8
-1.75,16.78848494024386200503717,0.1762837346710748787204583,0.2555762227963181730396926,0.4626124329393392799761056,-1.928187343277240388440946,-0.04187980651599364715800425,0.4476164066179964615319679,0.5178635672814100843254006,-0.1141824788768264041960542,-0.4033694360808657766170882,9,5,-2.465190328815661891911652e-21,4.930380657631323783823304e-22,16.95415454623669424745481,85.07006122746227163364009,47.4
-1.8,18.78424590050564034378305,0.1640665403674834424591167,0.2314337180649147826289664,0.4430208394720853127923091,-1.968732227609744249022396,-0.03735106803467930601730231,0.4366295162282534117007424,0.5042802687247364765308214,-0.1192303224100327306525721,-0.4077242067518174390983177,9,5,-1.972152263052529513529321e-21,4.930380657631323783823304e-22,18.94274129295493635526659,97.71094430035387514270006,57.2
-1.85,21.05572474816985043968402,0.152141425331226729842492,0.209009216822553278216955,0.4236059308347474845185527,-2.009139167012785888191406,-0.03325932096736345115139442,0.4251348117485367072809478,0.4896480258025470688550413,-0.124999205879253480308137,-0.4129928975425126207454696,9,5,-2.465190328815661891911652e-21,4.930380657631323783823304e-22,21.20678414077307694308072,112.4439591895709021890347,50.2
-1.9,23.64585890108135909561872,0.140560984937227140398687,0.1882530572816407337912596,0.4044127724533076956009404,-2.049491249746963103143393,-0.02956752234689438727518648,0.4130873995296951244657405,0.4740042018411156178150196,-0.1315359038994702096611597,-0.4191750733614305364227448,6,5,-1.479114197289397135146991e-21,9.860761315262647567646607e-22,23.78928583202224196157707,129.6463185700348920108884,51.1
-1.95,26.60495978187989557985576,0.1293760039792581455484393,0.1691105717932305654996356,0.3854886095705033653722873,-2.08987011139040682234773,-0.02624136982360776887527253,0.4004526390745658206457523,0.4574055623387843985643569,-0.1388861218905702473349738,-0.4262640485148532203396599,5,5,-2.465190328815661891911652e-21,1.479114197289397135146991e-21,26.74062574761896567902032,149.7683304429377532939818,49.3
-2.0,29.99208320931521566939911,0.1186338470071280531280566,0.151521702641669850602927,0.3668817616255430582158107,-2.130354174322628259768759,-0.02324913057071034559043257,0.3872097782513860583590985,0.4399289612257080015164727,-0.1470929932675424244345438,-0.4342461743040494592804635,9,4,-9.860761315262647567646607e-22,9.860761315262647567646607e-22,30.11992836940295556256669,173.3484787003329278163763,52.7
