kappa=-0.5500 alpha=1.8115302048 q=0.4637720821 psi=1.46321721
kappa=-0.5505 alpha=1.81291931938 q=0.4636711622 psi=1.462406162
kappa=-0.5510 alpha=1.81430971026 q=0.4635702234 psi=1.461595435
kappa=-0.5515 alpha=1.81570137879 q=0.4634692657 psi=1.460785028
kappa=-0.5520 alpha=1.81709432629 q=0.4633682892 psi=1.45997494
kappa=-0.5525 alpha=1.81848855412 q=0.4632672937 psi=1.459165173
kappa=-0.5530 alpha=1.81988406361 q=0.4631662795 psi=1.458355726
kappa=-0.5535 alpha=1.8212808561 q=0.4630652463 psi=1.457546599
kappa=-0.5540 alpha=1.82267893295 q=0.4629641943 psi=1.456737791
kappa=-0.5545 alpha=1.8240782955 q=0.4628631234 psi=1.455929303
kappa=-0.5550 alpha=1.8254789451 q=0.4627620336 psi=1.455121135
kappa=-0.5555 alpha=1.8268808831 q=0.4626609249 psi=1.454313286
kappa=-0.5560 alpha=1.82828411085 q=0.4625597973 psi=1.453505756
kappa=-0.5565 alpha=1.8296886297 q=0.4624586509 psi=1.452698545
kappa=-0.5570 alpha=1.83109444101 q=0.4623574855 psi=1.451891654
kappa=-0.5575 alpha=1.83250154614 q=0.4622563013 psi=1.451085081
kappa=-0.5580 alpha=1.83390994644 q=0.4621550982 psi=1.450278827
kappa=-0.5585 alpha=1.83531964327 q=0.4620538761 psi=1.449472892
kappa=-0.5590 alpha=1.836730638 q=0.4619526352 psi=1.448667276
kappa=-0.5595 alpha=1.83814293199 q=0.4618513754 psi=1.447861978
kappa=-0.5600 alpha=1.83955652659 q=0.4617500967 psi=1.447056999
kappa=-0.5605 alpha=1.84097142319 q=0.461648799 psi=1.446252338
kappa=-0.5610 alpha=1.84238762315 q=0.4615474825 psi=1.445447996
kappa=-0.5615 alpha=1.84380512783 q=0.4614461471 psi=1.444643971
kappa=-0.5620 alpha=1.8452239386 q=0.4613447927 psi=1.443840264
kappa=-0.5625 alpha=1.84664405685 q=0.4612434194 psi=1.443036876
kappa=-0.5630 alpha=1.84806548393 q=0.4611420272 psi=1.442233805
kappa=-0.5635 alpha=1.84948822124 q=0.4610406161 psi=1.441431052
kappa=-0.5640 alpha=1.85091227014 q=0.4609391861 psi=1.440628616
kappa=-0.5645 alpha=1.85233763202 q=0.4608377372 psi=1.439826498
kappa=-0.5650 alpha=1.85376430825 q=0.4607362693 psi=1.439024698
kappa=-0.5655 alpha=1.85519230023 q=0.4606347826 psi=1.438223214
kappa=-0.5660 alpha=1.85662160932 q=0.4605332768 psi=1.437422048
kappa=-0.5665 alpha=1.85805223692 q=0.4604317522 psi=1.436621199
kappa=-0.5670 alpha=1.85948418441 q=0.4603302086 psi=1.435820667
kappa=-0.5675 alpha=1.86091745319 q=0.4602286461 psi=1.435020452
kappa=-0.5680 alpha=1.86235204464 q=0.4601270647 psi=1.434220553
kappa=-0.5685 alpha=1.86378796015 q=0.4600254643 psi=1.433420972
kappa=-0.5690 alpha=1.86522520113 q=0.459923845 psi=1.432621706
kappa=-0.5695 alpha=1.86666376896 q=0.4598222068 psi=1.431822757
kappa=-0.5700 alpha=1.86810366503 q=0.4597205496 psi=1.431024125
kappa=-0.5705 alpha=1.86954489076 q=0.4596188735 psi=1.430225809
kappa=-0.5710 alpha=1.87098744753 q=0.4595171784 psi=1.429427809
kappa=-0.5715 alpha=1.87243133676 q=0.4594154643 psi=1.428630124
kappa=-0.5720 alpha=1.87387655984 q=0.4593137314 psi=1.427832756
