kappa_lo,kappa_hi,alpha_lb,alpha_ub,q_lb,q_ub,source
0.000000,0.000500,0.831037807988573,0.834578599739579,0.560449080084562,0.567530896190077,results\box\result_pos_0.json
0.000500,0.001000,0.830497448104562,0.834037807988573,0.560530896190077,0.567612696609804,results\box\result_pos_1.json
0.001000,0.001500,0.829957519689161,0.833497448104562,0.560612696609804,0.567694481346792,results\box\result_pos_2.json
0.001500,0.002000,0.8294180223444,0.832957519689161,0.560694481346792,0.567776250404081,results\box\result_pos_3.json
0.002000,0.002500,0.828878955672718,0.8324180223444,0.560776250404081,0.567858003784712,results\box\result_pos_0.json
0.002500,0.003000,0.828340319276965,0.831878955672718,0.560858003784712,0.567939741491724,results\box\result_pos_1.json
0.003000,0.003500,0.827802112760403,0.831340319276965,0.560939741491724,0.568021463528154,results\box\result_pos_2.json
0.003500,0.004000,0.827264335726704,0.830802112760403,0.561021463528154,0.568103169897042,results\box\result_pos_3.json
0.004000,0.004500,0.826726987779948,0.830264335726704,0.561103169897042,0.568184860601426,results\box\result_pos_0.json
0.004500,0.005000,0.826190068524625,0.829726987779948,0.561184860601426,0.568266535644342,results\box\result_pos_1.json
0.005000,0.005500,0.825653577565634,0.829190068524625,0.561266535644342,0.568348195028828,results\box\result_pos_2.json
0.005500,0.006000,0.825117514508282,0.828653577565634,0.561348195028828,0.568429838757921,results\box\result_pos_3.json
0.006000,0.006500,0.824581878958284,0.828117514508282,0.561429838757921,0.568511466834658,results\box\result_pos_0.json
0.006500,0.007000,0.824046670521761,0.827581878958284,0.561511466834658,0.568593079262072,results\box\result_pos_1.json
0.007000,0.007500,0.823511888805242,0.827046670521761,0.561593079262072,0.568674676043202,results\box\result_pos_2.json
0.007500,0.008000,0.822977533415662,0.826511888805242,0.561674676043202,0.56875625718108,results\box\result_pos_3.json
0.008000,0.008500,0.822443603960362,0.825977533415662,0.56175625718108,0.568837822678743,results\box\result_pos_0.json
0.008500,0.009000,0.821910100047088,0.825443603960362,0.561837822678743,0.568919372539224,results\box\result_pos_1.json
0.009000,0.009500,0.821377021283991,0.824910100047088,0.561919372539224,0.569000906765557,results\box\result_pos_2.json
0.009500,0.010000,0.820844367279628,0.824377021283991,0.562000906765557,0.569082425360775,results\box\result_pos_3.json
0.010000,0.010500,0.820312137642957,0.823844367279628,0.562082425360775,0.569163928327912,results\box\result_pos_0.json
0.010500,0.011000,0.819780331983343,0.823312137642957,0.562163928327912,0.56924541567,results\box\result_pos_1.json
0.011000,0.011500,0.819248949910551,0.822780331983343,0.56224541567,0.569326887390071,results\box\result_pos_2.json
0.011500,0.012000,0.818717991034751,0.822248949910551,0.562326887390071,0.569408343491157,results\box\result_pos_3.json
0.012000,0.012500,0.818187454966514,0.821717991034751,0.562408343491157,0.569489783976289,results\box\result_pos_0.json
0.012500,0.013000,0.817657341316813,0.821187454966514,0.562489783976289,0.569571208848499,results\box\result_pos_1.json
0.013000,0.013500,0.817127649697023,0.820657341316813,0.562571208848499,0.569652618110815,results\box\result_pos_2.json
0.013500,0.014000,0.816598379718918,0.820127649697023,0.562652618110815,0.56973401176627,results\box\result_pos_3.json
0.014000,0.014500,0.816069530994674,0.819598379718918,0.56273401176627,0.569815389817891,results\box\result_pos_0.json
0.014500,0.015000,0.815541103136867,0.819069530994674,0.562815389817891,0.569896752268709,results\box\result_pos_1.json
0.015000,0.015500,0.815013095758471,0.818541103136867,0.562896752268709,0.569978099121752,results\box\result_pos_2.json
0.015500,0.016000,0.81448550847286,0.818013095758471,0.562978099121752,0.570059430380048,results\box\result_pos_3.json
0.016000,0.016500,0.813958340893807,0.81748550847286,0.563059430380048,0.570140746046626,results\box\result_pos_0.json
0.016500,0.017000,0.813431592635482,0.816958340893807,0.563140746046626,0.570222046124513,results\box\result_pos_1.json
0.017000,0.017500,0.812905263312454,0.816431592635482,0.563222046124513,0.570303330616735,results\box\result_pos_2.json
0.017500,0.018000,0.812379352539688,0.815905263312454,0.563303330616735,0.57038459952632,results\box\result_pos_3.json
0.018000,0.018500,0.811853859932546,0.815379352539688,0.56338459952632,0.570465852856294,results\box\result_pos_0.json
0.018500,0.019000,0.811328785106786,0.814853859932546,0.563465852856294,0.570547090609682,results\box\result_pos_1.json
0.019000,0.019500,0.810804127678564,0.814328785106786,0.563547090609682,0.57062831278951,results\box\result_pos_2.json
0.019500,0.020000,0.810279887264428,0.813804127678564,0.56362831278951,0.570709519398802,results\box\result_pos_3.json
0.020000,0.020500,0.809756063481323,0.813279887264428,0.563709519398802,0.570790710440584,results\box\result_pos_0.json
0.020500,0.021000,0.809232655946589,0.812756063481323,0.563790710440584,0.570871885917878,results\box\result_pos_1.json
0.021000,0.021500,0.808709664277959,0.812232655946589,0.563871885917878,0.57095304583371,results\box\result_pos_2.json
0.021500,0.022000,0.808187088093559,0.811709664277959,0.56395304583371,0.571034190191101,results\box\result_pos_3.json
0.022000,0.022500,0.80766492701191,0.811187088093559,0.564034190191101,0.571115318993075,results\box\result_pos_0.json
0.022500,0.023000,0.807143180651924,0.81066492701191,0.564115318993075,0.571196432242654,results\box\result_pos_1.json
0.023000,0.023500,0.806621848632906,0.810143180651924,0.564196432242654,0.571277529942859,results\box\result_pos_2.json
0.023500,0.024000,0.806100930574554,0.809621848632906,0.564277529942859,0.571358612096712,results\box\result_pos_3.json
0.024000,0.024500,0.805580426096955,0.809100930574554,0.564358612096712,0.571439678707235,results\box\result_pos_0.json
0.024500,0.025000,0.805060334820589,0.808580426096955,0.564439678707235,0.571520729777447,results\box\result_pos_1.json
0.025000,0.025500,0.804540656366325,0.808060334820589,0.564520729777447,0.571601765310368,results\box\result_pos_2.json
0.025500,0.026000,0.804021390355422,0.807540656366325,0.564601765310368,0.571682785309018,results\box\result_pos_3.json
0.026000,0.026500,0.803502536409531,0.807021390355422,0.564682785309018,0.571763789776417,results\box\result_pos_0.json
0.026500,0.027000,0.80298409415069,0.806502536409531,0.564763789776417,0.571844778715583,results\box\result_pos_1.json
0.027000,0.027500,0.802466063201326,0.80598409415069,0.564844778715583,0.571925752129534,results\box\result_pos_2.json
0.027500,0.028000,0.801948443184254,0.805466063201326,0.564925752129534,0.572006710021289,results\box\result_pos_3.json
0.028000,0.028500,0.801431233722678,0.804948443184254,0.565006710021289,0.572087652393864,results\box\result_pos_0.json
0.028500,0.029000,0.800914434440189,0.804431233722678,0.565087652393864,0.572168579250276,results\box\result_pos_1.json
0.029000,0.029500,0.800398044960764,0.803914434440189,0.565168579250276,0.572249490593542,results\box\result_pos_2.json
0.029500,0.030000,0.799882064908768,0.803398044960764,0.565249490593542,0.572330386426678,results\box\result_pos_3.json
0.030000,0.030500,0.799366493908951,0.802882064908768,0.565330386426678,0.5724112667527,results\box\result_pos_0.json
0.030500,0.031000,0.798851331586449,0.802366493908951,0.5654112667527,0.572492131574623,results\box\result_pos_1.json
0.031000,0.031500,0.798336577566783,0.801851331586449,0.565492131574623,0.572572980895461,results\box\result_pos_2.json
