kappa,alpha,gap
0.0,0.4,2.23775
0.0,0.4,0.17619
0.0,0.4,0.42551
0.0,0.4,1.29358
0.0,0.4,0.33793
0.0,0.4,6e-05
0.0,0.4,1.17288
0.0,0.4,0.11049
0.0,0.4,0.77755
0.0,0.4,0.32356
0.0,0.4,0.48266
0.0,0.4,0.19797
0.0,0.4,0.58579
0.0,0.4,1.39077
0.0,0.4,0.18325
0.0,0.4,0.5528
0.0,0.4,0.66293
0.0,0.4,0.17379
0.0,0.4,0.85199
0.0,0.4,0.10777
0.0,0.4,1.61342
0.0,0.4,0.17548
0.0,0.4,0.23981
0.0,0.4,0.55297
0.0,0.4,0.45634
0.0,0.4,0.39101
0.0,0.4,1.35875
0.0,0.4,0.06824
0.0,0.4,0.26702
0.0,0.4,1.75071
0.0,0.4,0.99384
0.0,0.4,0.65151
0.0,0.4,0.79223
0.0,0.4,0.73559
0.0,0.4,0.82682
0.0,0.4,0.14759
0.0,0.4,1.19277
0.0,0.4,0.90802
0.0,0.4,0.57758
0.0,0.4,1.50404
0.0,0.4,0.13425
0.0,0.4,0.93641
0.0,0.4,1.95559
0.0,0.4,0.2291
0.0,0.4,0.24154
0.0,0.4,0.55443
0.0,0.4,0.27681
0.0,0.4,1.04652
0.0,0.4,0.02466
0.0,0.4,0.61292
0.0,0.4,0.23307
0.0,0.4,0.23413
0.0,0.4,0.35677
0.0,0.4,0.01752
0.0,0.4,0.46564
0.0,0.4,0.54064
0.0,0.4,0.14207
0.0,0.4,0.12529
0.0,0.4,0.18994
0.0,0.4,0.47346
0.0,0.4,2.01581
0.0,0.4,1.77587
0.0,0.4,0.98784
0.0,0.4,0.26138
0.0,0.4,1.30517
0.0,0.4,0.84113
0.0,0.4,1.18726
0.0,0.4,0.69973
0.0,0.4,1.15449
0.0,0.4,0.36179
0.0,0.4,1.03141
0.0,0.4,1.46934
0.0,0.4,0.62021
0.0,0.4,0.27186
0.0,0.4,1.00525
0.0,0.4,0.27984
0.0,0.4,0.11408
0.0,0.4,0.0835
0.0,0.4,0.20947
0.0,0.4,0.54511
0.0,0.4,0.38459
0.0,0.4,0.25291
0.0,0.4,1.83405
0.0,0.4,0.00898
0.0,0.4,0.45763
0.0,0.4,0.62191
0.0,0.4,0.8706
0.0,0.4,1.60598
0.0,0.4,2.16406
0.0,0.4,0.79564
0.0,0.4,0.63738
0.0,0.4,1.41811
0.0,0.4,0.174
0.0,0.4,0.84661
0.0,0.4,0.34248
0.0,0.4,1.35023
0.0,0.4,0.49342
0.0,0.4,0.25912
0.0,0.4,1.67771
0.0,0.4,0.06479
0.0,0.4,0.98057
0.0,0.4,0.08993
0.0,0.4,0.036
0.0,0.4,0.35436
0.0,0.4,0.6
0.0,0.4,0.0463
0.0,0.4,0.66208
0.0,0.4,0.25102
0.0,0.4,2.28027
0.0,0.4,0.29201
0.0,0.4,0.98141
0.0,0.4,0.74707
0.0,0.4,0.44492
0.0,0.4,0.94146
0.0,0.4,0.68567
0.0,0.4,0.70075
0.0,0.4,1.51153
0.0,0.4,0.244
0.0,0.4,0.74836
0.0,0.4,0.18163
0.0,0.4,0.13601
0.0,0.4,0.13623
0.0,0.4,0.44867
0.0,0.4,1.71817
0.0,0.4,0.02958
0.0,0.4,1.52034
0.0,0.4,1.57744
0.0,0.4,1.02253
0.0,0.4,1.01988
0.0,0.4,0.52503
0.0,0.4,0.35762
0.0,0.4,0.99725
0.0,0.4,0.52577
0.0,0.4,0.36178
0.0,0.4,1.23704
0.0,0.4,0.28447
0.0,0.4,1.3891
0.0,0.4,0.88761
0.0,0.4,0.54584
0.0,0.4,0.32437
0.0,0.4,0.93931
0.0,0.4,1.17433
0.0,0.4,0.94339
0.0,0.4,0.60551
0.0,0.4,0.31037
0.0,0.4,0.67125
0.0,0.4,0.34442
0.0,0.4,0.06569
0.0,0.4,0.48292
0.0,0.4,0.23624
0.0,0.4,0.39707
0.0,0.4,0.00295
0.0,0.4,0.18729
0.0,0.4,0.21521
0.0,0.4,0.1749
0.0,0.4,2.0877
0.0,0.4,0.64326
0.0,0.4,0.93725
0.0,0.4,0.53338
0.0,0.4,0.46195
0.0,0.4,1.22056
0.0,0.4,1.38633
0.0,0.4,3.05334
0.0,0.4,0.33531
0.0,0.4,0.84463
0.0,0.4,1.04572
0.0,0.4,1.12066
0.0,0.4,0.14312
0.0,0.4,0.75103
0.0,0.4,0.17843
0.0,0.4,0.09776
0.0,0.4,2.00903
0.0,0.4,1.84071
0.0,0.4,0.12468
0.0,0.4,0.81444
0.0,0.4,0.20251
0.0,0.4,1.25599
0.0,0.4,1.97585
0.0,0.4,1.04474
0.0,0.4,0.70546
0.0,0.4,0.5122
0.0,0.4,0.9759
0.0,0.4,0.5825
0.0,0.4,0.47134
0.0,0.4,0.20642
0.0,0.4,0.2797
0.0,0.4,0.80451
0.0,0.4,0.41165
0.0,0.4,0.18953
0.0,0.4,1.48766
0.0,0.4,0.36345
