kappa=-0.1910 alpha=1.07539040412 q=0.5315191131 psi=2.135433238
kappa=-0.1915 alpha=1.07613025575 q=0.531431063 psi=2.134361375
kappa=-0.1920 alpha=1.07687072773 q=0.531342996 psi=2.133289923
kappa=-0.1925 alpha=1.07761182067 q=0.5312549122 psi=2.132218882
kappa=-0.1930 alpha=1.07835353515 q=0.5311668115 psi=2.13114825
kappa=-0.1935 alpha=1.07909587178 q=0.5310786939 psi=2.130078029
kappa=-0.1940 alpha=1.07983883116 q=0.5309905595 psi=2.129008218
kappa=-0.1945 alpha=1.0805824139 q=0.5309024081 psi=2.127938818
kappa=-0.1950 alpha=1.08132662058 q=0.5308142399 psi=2.126869827
kappa=-0.1955 alpha=1.08207145181 q=0.5307260547 psi=2.125801245
kappa=-0.1960 alpha=1.0828169082 q=0.5306378527 psi=2.124733074
kappa=-0.1965 alpha=1.08356299035 q=0.5305496337 psi=2.123665311
kappa=-0.1970 alpha=1.08430969886 q=0.5304613979 psi=2.122597958
kappa=-0.1975 alpha=1.08505703434 q=0.5303731452 psi=2.121531014
kappa=-0.1980 alpha=1.0858049974 q=0.5302848755 psi=2.120464479
kappa=-0.1985 alpha=1.08655358863 q=0.5301965889 psi=2.119398353
kappa=-0.1990 alpha=1.08730280865 q=0.5301082855 psi=2.118332636
kappa=-0.1995 alpha=1.08805265806 q=0.5300199651 psi=2.117267327
kappa=-0.2000 alpha=1.08880313748 q=0.5299316278 psi=2.116202426
kappa=-0.2005 alpha=1.0895542475 q=0.5298432735 psi=2.115137934
kappa=-0.2010 alpha=1.09030598874 q=0.5297549023 psi=2.114073849
kappa=-0.2015 alpha=1.09105836181 q=0.5296665142 psi=2.113010173
kappa=-0.2020 alpha=1.09181136732 q=0.5295781092 psi=2.111946905
kappa=-0.2025 alpha=1.09256500589 q=0.5294896872 psi=2.110884044
kappa=-0.2030 alpha=1.09331927811 q=0.5294012483 psi=2.109821591
kappa=-0.2035 alpha=1.09407418461 q=0.5293127925 psi=2.108759545
kappa=-0.2040 alpha=1.094829726 q=0.5292243197 psi=2.107697906
kappa=-0.2045 alpha=1.09558590289 q=0.5291358299 psi=2.106636674
kappa=-0.2050 alpha=1.0963427159 q=0.5290473232 psi=2.10557585
kappa=-0.2055 alpha=1.09710016564 q=0.5289587996 psi=2.104515432
kappa=-0.2060 alpha=1.09785825273 q=0.528870259 psi=2.103455421
kappa=-0.2065 alpha=1.09861697778 q=0.5287817014 psi=2.102395816
kappa=-0.2070 alpha=1.09937634141 q=0.5286931269 psi=2.101336618
kappa=-0.2075 alpha=1.10013634425 q=0.5286045354 psi=2.100277825
kappa=-0.2080 alpha=1.1008969869 q=0.5285159269 psi=2.099219439
kappa=-0.2085 alpha=1.10165826999 q=0.5284273014 psi=2.098161459
kappa=-0.2090 alpha=1.10242019414 q=0.528338659 psi=2.097103885
kappa=-0.2095 alpha=1.10318275997 q=0.5282499996 psi=2.096046716
kappa=-0.2100 alpha=1.10394596809 q=0.5281613232 psi=2.094989953
kappa=-0.2105 alpha=1.10470981914 q=0.5280726298 psi=2.093933595
kappa=-0.2110 alpha=1.10547431373 q=0.5279839195 psi=2.092877643
kappa=-0.2115 alpha=1.10623945249 q=0.5278951921 psi=2.091822095
