N,kappa,alpha,success_rate,n_gaps,mean_gap,alpha_star
201,0.0,0.4,1.0,480,0.7199,0.8330786
201,0.0,0.5,1.0,600,0.67,0.8330786
201,0.0,0.55,1.0,666,0.6781,0.8330786
201,0.0,0.61,0.667,492,0.6937,0.8330786
201,0.0,0.67,0.0,0,,0.8330786
201,0.0,0.73,0.0,0,,0.8330786
201,0.0,0.79,0.0,0,,0.8330786
201,0.05,0.4,1.0,480,0.7193,0.7810743
201,0.05,0.5,1.0,600,0.6977,0.7810743
201,0.05,0.55,0.667,444,0.6704,0.7810743
201,0.05,0.61,0.0,0,,0.7810743
201,0.05,0.67,0.167,135,0.6431,0.7810743
201,0.05,0.73,0.0,0,,0.7810743
201,0.05,0.79,0.0,0,,0.7810743
201,0.1,0.4,1.0,480,0.6733,0.7330167
201,0.1,0.5,1.0,600,0.6208,0.7330167
201,0.1,0.55,0.667,444,0.6619,0.7330167
201,0.1,0.61,0.0,0,,0.7330167
201,0.1,0.67,0.0,0,,0.7330167
201,0.1,0.73,0.0,0,,0.7330167
201,0.1,0.79,0.0,0,,0.7330167
