kappa_lo,kappa_hi,alpha_lb,alpha_ub,q_lb,q_ub,source
0.100000,0.100500,0.731054833900559,0.734516667989756,0.575004119202257,0.585082858072029,results/box\result_pos2_0.json
0.100500,0.101000,0.73059335961866,0.734054833900559,0.575082858072029,0.585161581854983,results/box\result_pos2_1.json
0.101000,0.101500,0.730132244819441,0.73359335961866,0.575161581854983,0.585240290554078,results/box\result_pos2_2.json
0.101500,0.102000,0.729671489178616,0.733132244819441,0.575240290554078,0.585318984172255,results/box\result_pos2_3.json
0.102000,0.102500,0.729211092372225,0.732671489178616,0.575318984172255,0.585397662712459,results/box\result_pos2_0.json
0.102500,0.103000,0.728751054076637,0.732211092372225,0.575397662712459,0.58547632617763,results/box\result_pos2_1.json
0.103000,0.103500,0.72829137396855,0.731751054076637,0.57547632617763,0.585554974570712,results/box\result_pos2_2.json
0.103500,0.104000,0.727832051724986,0.73129137396855,0.575554974570712,0.585633607894645,results/box\result_pos2_3.json
0.104000,0.104500,0.727373087023297,0.730832051724986,0.575633607894645,0.58571222615237,results/box\result_pos2_0.json
0.104500,0.105000,0.72691447954116,0.730373087023297,0.57571222615237,0.585790829346826,results/box\result_pos2_1.json
0.105000,0.105500,0.726456228956578,0.72991447954116,0.575790829346826,0.585869417480954,results/box\result_pos2_2.json
0.105500,0.106000,0.725998334947881,0.729456228956578,0.575869417480954,0.585947990557691,results/box\result_pos2_3.json
0.106000,0.106500,0.725540797193723,0.728998334947881,0.575947990557691,0.586026548579977,results/box\result_pos2_0.json
0.106500,0.107000,0.725083615373085,0.728540797193723,0.576026548579977,0.58610509155075,results/box\result_pos2_1.json
0.107000,0.107500,0.72462678916527,0.728083615373085,0.57610509155075,0.586183619472946,results/box\result_pos2_2.json
0.107500,0.108000,0.724170318249908,0.72762678916527,0.576183619472946,0.586262132349503,results/box\result_pos2_3.json
0.108000,0.108500,0.723714202306952,0.727170318249908,0.576262132349503,0.586340630183356,results/box\result_pos2_0.json
0.108500,0.109000,0.723258441016678,0.726714202306952,0.576340630183356,0.586419112977441,results/box\result_pos2_1.json
0.109000,0.109500,0.722803034059686,0.726258441016678,0.576419112977441,0.586497580734693,results/box\result_pos2_2.json
0.109500,0.110000,0.722347981116899,0.725803034059686,0.576497580734693,0.586576033458047,results/box\result_pos2_3.json
0.110000,0.110500,0.721893281869562,0.725347981116899,0.576576033458047,0.586654471150436,results/box\result_pos2_0.json
0.110500,0.111000,0.721438935999242,0.724893281869562,0.576654471150436,0.586732893814793,results/box\result_pos2_1.json
0.111000,0.111500,0.72098494318783,0.724438935999242,0.576732893814793,0.586811301454053,results/box\result_pos2_2.json
0.111500,0.112000,0.720531303117535,0.72398494318783,0.576811301454053,0.586889694071146,results/box\result_pos2_3.json
0.112000,0.112500,0.72007801547089,0.723531303117535,0.576889694071146,0.586968071669004,results/box\result_pos2_0.json
0.112500,0.113000,0.719625079930748,0.72307801547089,0.576968071669004,0.587046434250559,results/box\result_pos2_1.json
0.113000,0.113500,0.71917249618028,0.722625079930748,0.577046434250559,0.587124781818741,results/box\result_pos2_2.json
0.113500,0.114000,0.718720263902982,0.72217249618028,0.577124781818741,0.58720311437648,results/box\result_pos2_3.json
0.114000,0.114500,0.718268382782666,0.721720263902982,0.57720311437648,0.587281431926705,results/box\result_pos2_0.json
0.114500,0.115000,0.717816852503463,0.721268382782666,0.577281431926705,0.587359734472345,results/box\result_pos2_1.json
0.115000,0.115500,0.717365672749825,0.720816852503463,0.577359734472345,0.587438022016329,results/box\result_pos2_2.json
0.115500,0.116000,0.716914843206522,0.720365672749825,0.577438022016329,0.587516294561584,results/box\result_pos2_3.json
0.116000,0.116500,0.716464363558642,0.719914843206522,0.577516294561584,0.587594552111038,results/box\result_pos2_0.json
0.116500,0.117000,0.716014233491591,0.719464363558642,0.577594552111038,0.587672794667616,results/box\result_pos2_1.json
0.117000,0.117500,0.715564452691093,0.719014233491591,0.577672794667616,0.587751022234244,results/box\result_pos2_2.json
0.117500,0.118000,0.715115020843188,0.718564452691093,0.577751022234244,0.58782923481385,results/box\result_pos2_3.json
0.118000,0.118500,0.714665937634234,0.718115020843188,0.57782923481385,0.587907432409356,results/box\result_pos2_0.json
0.118500,0.119000,0.714217202750905,0.717665937634234,0.577907432409356,0.587985615023687,results/box\result_pos2_1.json
0.119000,0.119500,0.713768815880192,0.717217202750905,0.577985615023687,0.588063782659768,results/box\result_pos2_2.json
0.119500,0.120000,0.7133207767094,0.716768815880192,0.578063782659768,0.588141935320521,results/box\result_pos2_3.json
0.120000,0.120500,0.712873084926152,0.7163207767094,0.578141935320521,0.588220073008868,results/box\result_pos2_0.json
0.120500,0.121000,0.712425740218383,0.715873084926152,0.578220073008868,0.588298195727733,results/box\result_pos2_1.json
0.121000,0.121500,0.711978742274346,0.715425740218383,0.578298195727733,0.588376303480035,results/box\result_pos2_2.json
0.121500,0.122000,0.711532090782606,0.714978742274346,0.578376303480035,0.588454396268697,results/box\result_pos2_3.json
0.122000,0.122500,0.711085785432042,0.714532090782606,0.578454396268697,0.588532474096638,results/box\result_pos2_0.json
0.122500,0.123000,0.71063982591185,0.714085785432042,0.578532474096638,0.588610536966778,results/box\result_pos2_1.json
0.123000,0.123500,0.710194211911535,0.71363982591185,0.578610536966778,0.588688584882036,results/box\result_pos2_2.json
0.123500,0.124000,0.709748943120918,0.713194211911535,0.578688584882036,0.58876661784533,results/box\result_pos2_3.json
0.124000,0.124500,0.70930401923013,0.712748943120918,0.57876661784533,0.58884463585958,results/box\result_pos2_0.json
0.124500,0.125000,0.708859439929618,0.71230401923013,0.57884463585958,0.588922638927701,results/box\result_pos2_1.json
0.125000,0.125500,0.708415204910138,0.711859439929618,0.578922638927701,0.589000627052612,results/box\result_pos2_2.json
0.125500,0.126000,0.707971313862758,0.711415204910138,0.579000627052612,0.589078600237227,results/box\result_pos2_3.json
0.126000,0.126500,0.707527766478858,0.710971313862758,0.579078600237227,0.589156558484463,results/box\result_pos2_0.json
0.126500,0.127000,0.707084562450129,0.710527766478858,0.579156558484463,0.589234501797236,results/box\result_pos2_1.json
0.127000,0.127500,0.706641701468572,0.710084562450129,0.579234501797236,0.589312430178458,results/box\result_pos2_2.json
0.127500,0.128000,0.706199183226499,0.709641701468572,0.579312430178458,0.589390343631045,results/box\result_pos2_3.json
0.128000,0.128500,0.705757007416531,0.709199183226499,0.579390343631045,0.58946824215791,results/box\result_pos2_0.json
0.128500,0.129000,0.705315173731598,0.708757007416531,0.57946824215791,0.589546125761965,results/box\result_pos2_1.json
0.129000,0.129500,0.704873681864942,0.708315173731598,0.579546125761965,0.589623994446122,results/box\result_pos2_2.json
0.129500,0.130000,0.704432531510111,0.707873681864942,0.579623994446122,0.589701848213294,results/box\result_pos2_3.json
0.130000,0.130500,0.703991722360963,0.707432531510111,0.579701848213294,0.589779687066391,results/box\result_pos2_0.json
0.130500,0.131000,0.703551254111663,0.706991722360963,0.579779687066391,0.589857511008324,results/box\result_pos2_1.json
0.131000,0.131500,0.703111126456685,0.706551254111663,0.579857511008324,0.589935320042003,results/box\result_pos2_2.json
0.131500,0.132000,0.70267133909081,0.706111126456685,0.579935320042003,0.590013114170336,results/box\result_pos2_3.json
0.132000,0.132500,0.702231891709125,0.70567133909081,0.580013114170336,0.590090893396233,results/box\result_pos2_0.json
0.132500,0.133000,0.701792784007027,0.705231891709125,0.580090893396233,0.590168657722602,results/box\result_pos2_1.json
0.133000,0.133500,0.701354015680217,0.704792784007027,0.580168657722602,0.590246407152349,results/box\result_pos2_2.json
0.133500,0.134000,0.700915586424701,0.704354015680217,0.580246407152349,0.590324141688383,results/box\result_pos2_3.json
0.134000,0.134500,0.700477495936794,0.703915586424701,0.580324141688383,0.59040186133361,results/box\result_pos2_0.json
0.134500,0.135000,0.700039743913115,0.703477495936794,0.58040186133361,0.590479566090935,results/box\result_pos2_1.json
0.135000,0.135500,0.699602330050586,0.703039743913115,0.580479566090935,0.590557255963263,results/box\result_pos2_2.json
0.135500,0.136000,0.699165254046437,0.702602330050586,0.580557255963263,0.590634930953499,results/box\result_pos2_3.json
0.136000,0.136500,0.698728515598202,0.702165254046437,0.580634930953499,0.590712591064547,results/box\result_pos2_0.json
0.136500,0.137000,0.698292114403716,0.701728515598202,0.580712591064547,0.590790236299311,results/box\result_pos2_1.json
0.137000,0.137500,0.697856050161122,0.701292114403716,0.580790236299311,0.590867866660693,results/box\result_pos2_2.json
0.137500,0.138000,0.697420322568864,0.700856050161122,0.580867866660693,0.590945482151595,results/box\result_pos2_3.json
0.138000,0.138500,0.696984931325688,0.700420322568864,0.580945482151595,0.59102308277492,results/box\result_pos2_0.json
0.138500,0.139000,0.696549876130647,0.699984931325688,0.58102308277492,0.591100668533568,results/box\result_pos2_1.json
0.139000,0.139500,0.696115156683091,0.699549876130647,0.581100668533568,0.59117823943044,results/box\result_pos2_2.json
0.139500,0.140000,0.695680772682676,0.699115156683091,0.58117823943044,0.591255795468435,results/box\result_pos2_3.json
0.140000,0.140500,0.695246723829359,0.698680772682676,0.581255795468435,0.591333336650454,results/box\result_pos2_4.json
0.140500,0.141000,0.694813009823397,0.698246723829359,0.581333336650454,0.591410862979393,results/box\result_pos2_4.json
0.141000,0.141500,0.694379630365349,0.697813009823397,0.581410862979393,0.591488374458153,results/box\result_pos2_4.json
0.141500,0.142000,0.693946585156075,0.697379630365349,0.581488374458153,0.59156587108963,results/box\result_pos2_4.json
0.142000,0.142500,0.693513873896736,0.696946585156075,0.58156587108963,0.591643352876721,results/box\result_pos2_4.json
0.142500,0.143000,0.693081496288791,0.696513873896736,0.581643352876721,0.591720819822323,results/box\result_pos2_4.json
0.143000,0.143500,0.692649452034,0.696081496288791,0.581720819822323,0.591798271929331,results/box\result_pos2_4.json
0.143500,0.144000,0.692217740834424,0.695649452034,0.581798271929331,0.59187570920064,results/box\result_pos2_4.json
0.144000,0.144500,0.691786362392419,0.695217740834424,0.58187570920064,0.591953131639145,results/box\result_pos2_4.json
0.144500,0.145000,0.691355316410644,0.694786362392419,0.581953131639145,0.59203053924774,results/box\result_pos2_4.json
0.145000,0.145500,0.690924602592055,0.694355316410644,0.58203053924774,0.592107932029318,results/box\result_pos2_4.json
0.145500,0.146000,0.690494220639904,0.693924602592055,0.582107932029318,0.592185309986772,results/box\result_pos2_4.json
0.146000,0.146500,0.690064170257744,0.693494220639904,0.582185309986772,0.592262673122995,results/box\result_pos2_4.json
0.146500,0.147000,0.689634451149423,0.693064170257744,0.582262673122995,0.592340021440877,results/box\result_pos2_4.json
0.147000,0.147500,0.689205063019088,0.692634451149423,0.582340021440877,0.592417354943309,results/box\result_pos2_4.json
0.147500,0.148000,0.688776005571181,0.692205063019088,0.582417354943309,0.592494673633183,results/box\result_pos2_4.json
0.148000,0.148500,0.688347278510441,0.691776005571181,0.582494673633183,0.592571977513388,results/box\result_pos2_4.json
0.148500,0.149000,0.687918881541905,0.691347278510441,0.582571977513388,0.592649266586812,results/box\result_pos2_4.json
0.149000,0.149500,0.687490814370903,0.690918881541905,0.582649266586812,0.592726540856346,results/box\result_pos2_4.json
0.149500,0.150000,0.687063076703062,0.690490814370903,0.582726540856346,0.592803800324875,results/box\result_pos2_4.json
0.150000,0.150500,0.686635668244303,0.690063076703062,0.582803800324875,0.592881044995289,results/box\result_pos2_5.json
0.150500,0.151000,0.686208588700843,0.689635668244303,0.582881044995289,0.592958274870473,results/box\result_pos2_5.json
0.151000,0.151500,0.685781837779194,0.689208588700843,0.582958274870473,0.593035489953315,results/box\result_pos2_5.json
0.151500,0.152000,0.685355415186161,0.688781837779194,0.583035489953315,0.593112690246698,results/box\result_pos2_5.json
0.152000,0.152500,0.684929320628842,0.688355415186161,0.583112690246698,0.593189875753509,results/box\result_pos2_5.json
0.152500,0.153000,0.68450355381463,0.687929320628842,0.583189875753509,0.593267046476632,results/box\result_pos2_5.json
0.153000,0.153500,0.684078114451211,0.68750355381463,0.583267046476632,0.593344202418951,results/box\result_pos2_5.json
0.153500,0.154000,0.683653002246565,0.687078114451211,0.583344202418951,0.593421343583348,results/box\result_pos2_5.json
0.154000,0.154500,0.683228216908961,0.686653002246565,0.583421343583348,0.593498469972706,results/box\result_pos2_5.json
0.154500,0.155000,0.682803758146963,0.686228216908961,0.583498469972706,0.593575581589908,results/box\result_pos2_5.json
0.155000,0.155500,0.682379625669427,0.685803758146963,0.583575581589908,0.593652678437834,results/box\result_pos2_5.json
0.155500,0.156000,0.681955819185499,0.685379625669427,0.583652678437834,0.593729760519366,results/box\result_pos2_5.json
0.156000,0.156500,0.681532338404618,0.684955819185499,0.583729760519366,0.593806827837383,results/box\result_pos2_5.json
0.156500,0.157000,0.681109183036513,0.684532338404618,0.583806827837383,0.593883880394765,results/box\result_pos2_5.json
0.157000,0.157500,0.680686352791203,0.684109183036513,0.583883880394765,0.59396091819439,results/box\result_pos2_5.json
0.157500,0.158000,0.680263847378998,0.683686352791203,0.58396091819439,0.594037941239138,results/box\result_pos2_5.json
0.158000,0.158500,0.679841666510498,0.683263847378998,0.584037941239138,0.594114949531887,results/box\result_pos2_5.json
0.158500,0.159000,0.679419809896594,0.682841666510498,0.584114949531887,0.594191943075512,results/box\result_pos2_5.json
