kappa,alpha,gap
0.0,0.4,0.65565
0.0,0.4,0.85282
0.0,0.4,1.09311
0.0,0.4,0.20765
0.0,0.4,1.12404
0.0,0.4,0.43029
0.0,0.4,0.03448
0.0,0.4,1.12003
0.0,0.4,0.61178
0.0,0.4,1.30182
0.0,0.4,0.21918
0.0,0.4,1.96246
0.0,0.4,1.04683
0.0,0.4,1.60969
0.0,0.4,0.86005
0.0,0.4,0.7749
0.0,0.4,1.06728
0.0,0.4,0.65222
0.0,0.4,1.11079
0.0,0.4,0.8517
0.0,0.4,0.05434
0.0,0.4,0.10956
0.0,0.4,1.16566
0.0,0.4,0.01969
0.0,0.4,0.54468
0.0,0.4,0.77691
0.0,0.4,1.33165
0.0,0.4,0.14415
0.0,0.4,0.27503
0.0,0.4,0.09778
0.0,0.4,1.00602
0.0,0.4,0.15762
0.0,0.4,1.27623
0.0,0.4,0.23525
0.0,0.4,1.40939
0.0,0.4,0.7557
0.0,0.4,0.64778
0.0,0.4,0.22805
0.0,0.4,0.30576
0.0,0.4,0.22085
0.0,0.4,0.10965
0.0,0.4,0.48471
0.0,0.4,0.31346
0.0,0.4,1.25515
0.0,0.4,0.71964
0.0,0.4,2.32732
0.0,0.4,0.0357
0.0,0.4,0.22018
0.0,0.4,0.78735
0.0,0.4,0.07115
0.0,0.4,0.38121
0.0,0.4,0.18604
0.0,0.4,0.22945
0.0,0.4,0.62737
0.0,0.4,0.86698
0.0,0.4,0.51806
0.0,0.4,1.34681
0.0,0.4,0.85296
0.0,0.4,0.10154
0.0,0.4,0.98862
0.0,0.4,0.70211
0.0,0.4,0.47935
0.0,0.4,0.30526
0.0,0.4,0.88374
0.0,0.4,1.06724
0.0,0.4,0.26853
0.0,0.4,0.20172
0.0,0.4,0.03681
0.0,0.4,0.40311
0.0,0.4,0.56766
0.0,0.4,0.18459
0.0,0.4,0.04106
0.0,0.4,0.48032
0.0,0.4,0.08827
0.0,0.4,0.80312
0.0,0.4,0.24467
0.0,0.4,0.88908
0.0,0.4,0.73107
0.0,0.4,0.85051
0.0,0.4,0.01474
0.0,0.4,0.3512
0.0,0.4,0.30197
0.0,0.4,1.19655
0.0,0.4,0.93472
0.0,0.4,0.43328
0.0,0.4,0.69579
0.0,0.4,0.01206
0.0,0.4,0.44635
0.0,0.4,0.74192
0.0,0.4,0.85956
0.0,0.4,2.1388
0.0,0.4,0.47239
0.0,0.4,0.33616
0.0,0.4,0.24791
0.0,0.4,0.91423
0.0,0.4,0.57563
0.0,0.4,0.79502
0.0,0.4,0.18438
0.0,0.4,0.40349
0.0,0.4,0.30827
0.0,0.4,0.91884
0.0,0.4,0.09732
0.0,0.4,1.25496
0.0,0.4,0.95435
0.0,0.4,0.5695
0.0,0.4,0.69116
0.0,0.4,1.42078
0.0,0.4,0.21271
0.0,0.4,0.75133
0.0,0.4,1.77626
0.0,0.4,0.12473
0.0,0.4,0.04513
0.0,0.4,0.09382
0.0,0.4,0.3654
0.0,0.4,1.50286
0.0,0.4,0.21108
0.0,0.4,1.02033
0.0,0.4,0.97864
0.0,0.4,0.14812
0.0,0.4,1.03546
0.0,0.4,0.03089
0.0,0.4,0.15555
0.0,0.4,0.23722
0.0,0.4,1.42199
0.0,0.4,0.76944
0.0,0.4,0.27944
0.0,0.4,1.12339
0.0,0.4,1.09779
0.0,0.4,1.02728
0.0,0.4,1.20492
0.0,0.4,0.97986
0.0,0.4,0.43113
0.0,0.4,0.20302
0.0,0.4,0.23035
0.0,0.4,1.42583
0.0,0.4,0.56088
0.0,0.4,1.31998
0.0,0.4,0.24075
0.0,0.4,0.063
0.0,0.4,0.99462
0.0,0.4,0.32176
0.0,0.4,0.47628
0.0,0.4,0.04307
0.0,0.4,0.08397
0.0,0.4,1.25739
0.0,0.4,0.16495
0.0,0.4,0.04677
0.0,0.4,0.34378
0.0,0.4,0.41326
0.0,0.4,0.50046
0.0,0.4,0.92816
0.0,0.4,1.13979
0.0,0.4,1.52631
0.0,0.4,0.42734
0.0,0.4,1.23428
0.0,0.4,0.30551
0.0,0.4,0.9415
0.0,0.4,0.518
0.0,0.4,1.27932
0.0,0.4,0.1173
0.0,0.4,0.34214
0.0,0.4,1.37667
0.0,0.4,0.99208
