kappa,alpha,gap
0.0,0.61,0.61675
0.0,0.61,0.20932
0.0,0.61,0.1707
0.0,0.61,0.58713
0.0,0.61,0.73062
0.0,0.61,0.81802
0.0,0.61,0.139
0.0,0.61,0.34259
0.0,0.61,0.73479
0.0,0.61,1.4236
0.0,0.61,2.13128
0.0,0.61,0.16343
0.0,0.61,0.59591
0.0,0.61,0.72338
0.0,0.61,0.29986
0.0,0.61,1.00069
0.0,0.61,0.28053
0.0,0.61,1.50307
0.0,0.61,0.14052
0.0,0.61,0.53495
0.0,0.61,0.02502
0.0,0.61,0.61747
0.0,0.61,0.02911
0.0,0.61,1.43934
0.0,0.61,0.26021
0.0,0.61,0.4524
0.0,0.61,0.98453
0.0,0.61,0.09147
0.0,0.61,0.21434
0.0,0.61,0.02692
0.0,0.61,0.49362
0.0,0.61,0.22583
0.0,0.61,0.97061
0.0,0.61,0.61877
0.0,0.61,0.35807
0.0,0.61,1.26859
0.0,0.61,0.39987
0.0,0.61,0.29148
0.0,0.61,0.17123
0.0,0.61,0.03384
0.0,0.61,0.83725
0.0,0.61,0.1221
0.0,0.61,0.68228
0.0,0.61,0.80295
0.0,0.61,0.18506
0.0,0.61,0.2089
0.0,0.61,0.57568
0.0,0.61,1.7829
0.0,0.61,0.28822
0.0,0.61,1.16252
0.0,0.61,0.47393
0.0,0.61,0.53628
0.0,0.61,0.31663
0.0,0.61,0.23743
0.0,0.61,0.30623
0.0,0.61,0.51157
0.0,0.61,1.07211
0.0,0.61,0.85005
0.0,0.61,1.83883
0.0,0.61,0.30189
0.0,0.61,0.30698
0.0,0.61,0.89983
0.0,0.61,0.22611
0.0,0.61,0.53464
0.0,0.61,0.98871
0.0,0.61,0.781
0.0,0.61,0.79463
0.0,0.61,1.79613
0.0,0.61,0.47618
0.0,0.61,0.86729
0.0,0.61,0.37178
0.0,0.61,0.518
0.0,0.61,0.24484
0.0,0.61,1.18561
0.0,0.61,0.72265
0.0,0.61,0.11541
0.0,0.61,0.19582
0.0,0.61,1.40945
0.0,0.61,0.15408
0.0,0.61,0.11282
