kappa=-0.2500 alpha=1.16713994423 q=0.5210119137 psi=2.011750076
kappa=-0.2505 alpha=1.16795730502 q=0.5209218515 psi=2.010725686
kappa=-0.2510 alpha=1.16877536142 q=0.520831772 psi=2.009701689
kappa=-0.2515 alpha=1.1695941141 q=0.5207416752 psi=2.008678087
kappa=-0.2520 alpha=1.17041356375 q=0.5206515613 psi=2.007654878
kappa=-0.2525 alpha=1.17123371104 q=0.52056143 psi=2.006632062
kappa=-0.2530 alpha=1.17205455666 q=0.5204712816 psi=2.00560964
kappa=-0.2535 alpha=1.1728761013 q=0.5203811159 psi=2.004587611
kappa=-0.2540 alpha=1.17369834563 q=0.5202909329 psi=2.003565975
kappa=-0.2545 alpha=1.17452129033 q=0.5202007327 psi=2.002544732
kappa=-0.2550 alpha=1.17534493611 q=0.5201105152 psi=2.001523881
kappa=-0.2555 alpha=1.17616928363 q=0.5200202804 psi=2.000503424
kappa=-0.2560 alpha=1.17699433359 q=0.5199300284 psi=1.999483359
kappa=-0.2565 alpha=1.17782008667 q=0.5198397591 psi=1.998463686
kappa=-0.2570 alpha=1.17864654357 q=0.5197494726 psi=1.997444405
kappa=-0.2575 alpha=1.17947370497 q=0.5196591688 psi=1.996425517
kappa=-0.2580 alpha=1.18030157155 q=0.5195688476 psi=1.99540702
kappa=-0.2585 alpha=1.18113014402 q=0.5194785093 psi=1.994388916
kappa=-0.2590 alpha=1.18195942306 q=0.5193881536 psi=1.993371203
kappa=-0.2595 alpha=1.18278940937 q=0.5192977806 psi=1.992353881
kappa=-0.2600 alpha=1.18362010363 q=0.5192073904 psi=1.991336951
kappa=-0.2605 alpha=1.18445150654 q=0.5191169828 psi=1.990320412
kappa=-0.2610 alpha=1.1852836188 q=0.519026558 psi=1.989304265
kappa=-0.2615 alpha=1.1861164411 q=0.5189361158 psi=1.988288508
kappa=-0.2620 alpha=1.18694997413 q=0.5188456564 psi=1.987273142
kappa=-0.2625 alpha=1.18778421859 q=0.5187551796 psi=1.986258167
kappa=-0.2630 alpha=1.18861917518 q=0.5186646856 psi=1.985243582
kappa=-0.2635 alpha=1.18945484459 q=0.5185741742 psi=1.984229388
kappa=-0.2640 alpha=1.19029122753 q=0.5184836455 psi=1.983215585
kappa=-0.2645 alpha=1.1911283247 q=0.5183930995 psi=1.982202171
kappa=-0.2650 alpha=1.19196613679 q=0.5183025362 psi=1.981189147
kappa=-0.2655 alpha=1.19280466451 q=0.5182119555 psi=1.980176513
kappa=-0.2660 alpha=1.19364390855 q=0.5181213575 psi=1.979164269
kappa=-0.2665 alpha=1.19448386962 q=0.5180307422 psi=1.978152415
kappa=-0.2670 alpha=1.19532454843 q=0.5179401096 psi=1.97714095
kappa=-0.2675 alpha=1.19616594567 q=0.5178494596 psi=1.976129875
kappa=-0.2680 alpha=1.19700806206 q=0.5177587923 psi=1.975119188
kappa=-0.2685 alpha=1.19785089829 q=0.5176681076 psi=1.974108891
kappa=-0.2690 alpha=1.19869445508 q=0.5175774056 psi=1.973098983
kappa=-0.2695 alpha=1.19953873313 q=0.5174866863 psi=1.972089463
kappa=-0.2700 alpha=1.20038373315 q=0.5173959496 psi=1.971080332
kappa=-0.2705 alpha=1.20122945585 q=0.5173051955 psi=1.97007159
kappa=-0.2710 alpha=1.20207590193 q=0.5172144241 psi=1.969063236
kappa=-0.2715 alpha=1.20292307211 q=0.5171236353 psi=1.96805527
kappa=-0.2720 alpha=1.2037709671 q=0.5170328292 psi=1.967047692
kappa=-0.2725 alpha=1.20461958761 q=0.5169420057 psi=1.966040502
kappa=-0.2730 alpha=1.20546893436 q=0.5168511648 psi=1.9650337
kappa=-0.2735 alpha=1.20631900805 q=0.5167603065 psi=1.964027286
kappa=-0.2740 alpha=1.2071698094 q=0.5166694309 psi=1.96302126
kappa=-0.2745 alpha=1.20802133913 q=0.5165785379 psi=1.96201562
kappa=-0.2750 alpha=1.20887359795 q=0.5164876275 psi=1.961010368
kappa=-0.2755 alpha=1.20972658658 q=0.5163966997 psi=1.960005504
kappa=-0.2760 alpha=1.21058030573 q=0.5163057546 psi=1.959001026
kappa=-0.2765 alpha=1.21143475613 q=0.516214792 psi=1.957996935
kappa=-0.2770 alpha=1.21228993849 q=0.5161238121 psi=1.956993231
kappa=-0.2775 alpha=1.21314585353 q=0.5160328147 psi=1.955989913
kappa=-0.2780 alpha=1.21400250198 q=0.5159418 psi=1.954986982
kappa=-0.2785 alpha=1.21485988455 q=0.5158507678 psi=1.953984437
kappa=-0.2790 alpha=1.21571800196 q=0.5157597183 psi=1.952982279
kappa=-0.2795 alpha=1.21657685495 q=0.5156686513 psi=1.951980506
kappa=-0.2800 alpha=1.21743644422 q=0.5155775669 psi=1.95097912
kappa=-0.2805 alpha=1.21829677051 q=0.5154864651 psi=1.949978119
kappa=-0.2810 alpha=1.21915783455 q=0.5153953459 psi=1.948977504
kappa=-0.2815 alpha=1.22001963705 q=0.5153042093 psi=1.947977274
kappa=-0.2820 alpha=1.22088217875 q=0.5152130552 psi=1.94697743
kappa=-0.2825 alpha=1.22174546037 q=0.5151218838 psi=1.945977971
kappa=-0.2830 alpha=1.22260948264 q=0.5150306948 psi=1.944978897
kappa=-0.2835 alpha=1.2234742463 q=0.5149394885 psi=1.943980208
kappa=-0.2840 alpha=1.22433975206 q=0.5148482647 psi=1.942981904
kappa=-0.2845 alpha=1.22520600066 q=0.5147570235 psi=1.941983985
kappa=-0.2850 alpha=1.22607299284 q=0.5146657648 psi=1.94098645
kappa=-0.2855 alpha=1.22694072932 q=0.5145744887 psi=1.939989299
kappa=-0.2860 alpha=1.22780921084 q=0.5144831952 psi=1.938992533
kappa=-0.2865 alpha=1.22867843813 q=0.5143918841 psi=1.937996151
kappa=-0.2870 alpha=1.22954841194 q=0.5143005557 psi=1.937000154
