kappa,alpha,gap
0.0,0.44,0.00172
0.0,0.44,0.36064
0.0,0.44,2.73374
0.0,0.44,1.36188
0.0,0.44,1.06
0.0,0.44,0.76517
0.0,0.44,0.51643
0.0,0.44,0.75808
0.0,0.44,0.71654
0.0,0.44,1.14506
0.0,0.44,1.45545
0.0,0.44,0.16771
0.0,0.44,0.39419
0.0,0.44,1.08948
0.0,0.44,1.17149
0.0,0.44,0.79625
0.0,0.44,0.67572
0.0,0.44,0.65743
0.0,0.44,1.61734
0.0,0.44,0.33088
0.0,0.44,2.19033
0.0,0.44,0.82081
0.0,0.44,0.79487
0.0,0.44,0.29298
0.0,0.44,0.20209
0.0,0.44,0.38416
0.0,0.44,0.26241
0.0,0.44,0.72004
0.0,0.44,0.9836
0.0,0.44,1.10227
0.0,0.44,0.76629
0.0,0.44,0.73572
0.0,0.44,0.61674
0.0,0.44,0.17865
0.0,0.44,0.84429
0.0,0.44,1.09515
0.0,0.44,2.98563
0.0,0.44,0.19504
0.0,0.44,0.03249
0.0,0.44,0.80007
0.0,0.44,0.38877
0.0,0.44,0.37205
0.0,0.44,0.4003
0.0,0.44,1.1348
0.0,0.44,0.1164
0.0,0.44,0.67715
0.0,0.44,0.79414
0.0,0.44,0.12267
0.0,0.44,0.1911
0.0,0.44,0.13594
0.0,0.44,0.50868
0.0,0.44,0.46444
0.0,0.44,0.7708
0.0,0.44,0.34289
0.0,0.44,0.25049
0.0,0.44,1.06399
0.0,0.44,0.59834
0.0,0.44,1.55933
0.0,0.44,1.17364
0.0,0.44,0.39291
0.0,0.44,1.17389
0.0,0.44,0.96648
0.0,0.44,1.50799
0.0,0.44,1.07227
0.0,0.44,0.33815
0.0,0.44,0.39697
0.0,0.44,0.66822
0.0,0.44,0.44899
0.0,0.44,1.23474
0.0,0.44,0.09503
0.0,0.44,0.31135
0.0,0.44,0.74329
0.0,0.44,0.84561
0.0,0.44,0.60495
0.0,0.44,0.70303
0.0,0.44,0.53143
0.0,0.44,1.72369
0.0,0.44,1.15721
0.0,0.44,0.35437
0.0,0.44,0.94979
0.0,0.44,0.69437
0.0,0.44,0.4907
0.0,0.44,0.38433
0.0,0.44,0.07027
0.0,0.44,0.61609
0.0,0.44,1.16323
0.0,0.44,0.47678
0.0,0.44,1.70403
0.0,0.44,0.1611
0.0,0.44,0.44335
0.0,0.44,0.18575
0.0,0.44,0.88808
0.0,0.44,0.45372
0.0,0.44,0.28726
0.0,0.44,1.14116
0.0,0.44,0.31852
0.0,0.44,1.85656
0.0,0.44,0.76492
0.0,0.44,0.45723
0.0,0.44,1.03052
0.0,0.44,0.22164
0.0,0.44,0.87549
0.0,0.44,0.01929
0.0,0.44,0.22836
0.0,0.44,0.36024
0.0,0.44,0.05457
0.0,0.44,0.35338
0.0,0.44,1.08572
0.0,0.44,0.5713
0.0,0.44,0.77824
0.0,0.44,0.78178
0.0,0.44,0.56401
0.0,0.44,1.06011
0.0,0.44,0.71227
0.0,0.44,0.74235
0.0,0.44,0.81071
0.0,0.44,0.27073
0.0,0.44,0.33172
0.0,0.44,0.00126
0.0,0.44,0.12382
0.0,0.44,0.05315
0.0,0.44,0.57031
0.0,0.44,0.24514
0.0,0.44,0.26285
0.0,0.44,1.05207
0.0,0.44,0.6832
0.0,0.44,0.63196
0.0,0.44,1.40358
0.0,0.44,1.10241
0.0,0.44,1.92225
0.0,0.44,0.65835
0.0,0.44,0.95471
0.0,0.44,1.39338
0.0,0.44,0.13518
0.0,0.44,0.05526
0.0,0.44,0.28932
0.0,0.44,0.22174
0.0,0.44,0.78567
0.0,0.44,0.08784
0.0,0.44,0.27941
0.0,0.44,1.52411
0.0,0.44,0.15197
0.0,0.44,0.05957
0.0,0.44,0.11718
0.0,0.44,0.79805
0.0,0.44,0.05582
0.0,0.44,0.44145
0.0,0.44,0.94833
0.0,0.44,2.31598
0.0,0.44,0.71261
0.0,0.44,0.12511
0.0,0.44,0.54487
0.0,0.44,0.6156
0.0,0.44,0.51543
0.0,0.44,1.96902
0.0,0.44,0.05105
0.0,0.44,0.72321
0.0,0.44,1.35567
0.0,0.44,0.48847
0.0,0.44,0.63871
0.0,0.44,0.954
0.0,0.44,0.0301
0.0,0.44,1.21706
