kappa=-0.4500 alpha=1.55765237515 q=0.483579914 psi=1.632013929
kappa=-0.4505 alpha=1.55881113465 q=0.4834827212 psi=1.631136595
kappa=-0.4510 alpha=1.55997093175 q=0.4833855099 psi=1.630259604
kappa=-0.4515 alpha=1.56113176753 q=0.4832882803 psi=1.629382956
kappa=-0.4520 alpha=1.56229364303 q=0.4831910322 psi=1.62850665
kappa=-0.4525 alpha=1.56345655934 q=0.4830937658 psi=1.627630687
kappa=-0.4530 alpha=1.56462051751 q=0.4829964809 psi=1.626755066
kappa=-0.4535 alpha=1.5657855186 q=0.4828991777 psi=1.625879786
kappa=-0.4540 alpha=1.5669515637 q=0.482801856 psi=1.625004849
kappa=-0.4545 alpha=1.56811865387 q=0.4827045159 psi=1.624130254
kappa=-0.4550 alpha=1.56928679018 q=0.4826071575 psi=1.623256001
kappa=-0.4555 alpha=1.5704559737 q=0.4825097806 psi=1.62238209
kappa=-0.4560 alpha=1.5716262055 q=0.4824123853 psi=1.621508519
kappa=-0.4565 alpha=1.57279748666 q=0.4823149715 psi=1.620635291
kappa=-0.4570 alpha=1.57396981826 q=0.4822175394 psi=1.619762404
kappa=-0.4575 alpha=1.57514320137 q=0.4821200888 psi=1.618889858
kappa=-0.4580 alpha=1.57631763707 q=0.4820226198 psi=1.618017653
kappa=-0.4585 alpha=1.57749312644 q=0.4819251324 psi=1.617145789
kappa=-0.4590 alpha=1.57866967055 q=0.4818276265 psi=1.616274266
kappa=-0.4595 alpha=1.5798472705 q=0.4817301022 psi=1.615403083
kappa=-0.4600 alpha=1.58102592736 q=0.4816325595 psi=1.614532241
kappa=-0.4605 alpha=1.58220564222 q=0.4815349983 psi=1.61366174
kappa=-0.4610 alpha=1.58338641617 q=0.4814374187 psi=1.612791579
kappa=-0.4615 alpha=1.58456825029 q=0.4813398206 psi=1.611921759
kappa=-0.4620 alpha=1.58575114566 q=0.4812422041 psi=1.611052278
kappa=-0.4625 alpha=1.58693510339 q=0.4811445691 psi=1.610183138
kappa=-0.4630 alpha=1.58812012455 q=0.4810469157 psi=1.609314338
kappa=-0.4635 alpha=1.58930621024 q=0.4809492438 psi=1.608445877
kappa=-0.4640 alpha=1.59049336156 q=0.4808515535 psi=1.607577756
kappa=-0.4645 alpha=1.59168157959 q=0.4807538447 psi=1.606709975
kappa=-0.4650 alpha=1.59287086544 q=0.4806561175 psi=1.605842533
kappa=-0.4655 alpha=1.59406122019 q=0.4805583718 psi=1.604975431
kappa=-0.4660 alpha=1.59525264496 q=0.4804606076 psi=1.604108668
kappa=-0.4665 alpha=1.59644514083 q=0.4803628249 psi=1.603242244
kappa=-0.4670 alpha=1.5976387089 q=0.4802650238 psi=1.602376159
kappa=-0.4675 alpha=1.59883335029 q=0.4801672042 psi=1.601510412
kappa=-0.4680 alpha=1.60002906609 q=0.4800693661 psi=1.600645005
kappa=-0.4685 alpha=1.60122585741 q=0.4799715095 psi=1.599779936
kappa=-0.4690 alpha=1.60242372535 q=0.4798736345 psi=1.598915206
kappa=-0.4695 alpha=1.60362267101 q=0.479775741 psi=1.598050814
kappa=-0.4700 alpha=1.60482269552 q=0.4796778289 psi=1.597186761
kappa=-0.4705 alpha=1.60602379997 q=0.4795798984 psi=1.596323046
kappa=-0.4710 alpha=1.60722598548 q=0.4794819494 psi=1.595459669
kappa=-0.4715 alpha=1.60842925315 q=0.4793839819 psi=1.59459663
kappa=-0.4720 alpha=1.60963360411 q=0.4792859959 psi=1.593733928
kappa=-0.4725 alpha=1.61083903947 q=0.4791879914 psi=1.592871565
kappa=-0.4730 alpha=1.61204556034 q=0.4790899684 psi=1.592009539
kappa=-0.4735 alpha=1.61325316783 q=0.4789919269 psi=1.59114785
kappa=-0.4740 alpha=1.61446186308 q=0.4788938669 psi=1.590286499
kappa=-0.4745 alpha=1.61567164719 q=0.4787957884 psi=1.589425486
kappa=-0.4750 alpha=1.61688252129 q=0.4786976913 psi=1.588564809
kappa=-0.4755 alpha=1.6180944865 q=0.4785995758 psi=1.58770447
kappa=-0.4760 alpha=1.61930754394 q=0.4785014417 psi=1.586844467
kappa=-0.4765 alpha=1.62052169474 q=0.4784032891 psi=1.585984802
kappa=-0.4770 alpha=1.62173694003 q=0.478305118 psi=1.585125473
kappa=-0.4775 alpha=1.62295328092 q=0.4782069283 psi=1.58426648
kappa=-0.4780 alpha=1.62417071856 q=0.4781087201 psi=1.583407824
kappa=-0.4785 alpha=1.62538925407 q=0.4780104934 psi=1.582549505
kappa=-0.4790 alpha=1.62660888858 q=0.4779122482 psi=1.581691522
kappa=-0.4795 alpha=1.62782962322 q=0.4778139844 psi=1.580833874
kappa=-0.4800 alpha=1.62905145913 q=0.4777157021 psi=1.579976563
kappa=-0.4805 alpha=1.63027439744 q=0.4776174012 psi=1.579119588
kappa=-0.4810 alpha=1.63149843929 q=0.4775190818 psi=1.578262949
kappa=-0.4815 alpha=1.63272358582 q=0.4774207439 psi=1.577406645
kappa=-0.4820 alpha=1.63394983817 q=0.4773223874 psi=1.576550677
kappa=-0.4825 alpha=1.63517719746 q=0.4772240123 psi=1.575695044
kappa=-0.4830 alpha=1.63640566486 q=0.4771256187 psi=1.574839747
kappa=-0.4835 alpha=1.6376352415 q=0.4770272066 psi=1.573984785
kappa=-0.4840 alpha=1.63886592852 q=0.4769287759 psi=1.573130158
kappa=-0.4845 alpha=1.64009772707 q=0.4768303266 psi=1.572275866
kappa=-0.4850 alpha=1.6413306383 q=0.4767318587 psi=1.571421909
kappa=-0.4855 alpha=1.64256466336 q=0.4766333723 psi=1.570568287
kappa=-0.4860 alpha=1.64379980339 q=0.4765348674 psi=1.569714999
kappa=-0.4865 alpha=1.64503605955 q=0.4764363438 psi=1.568862046
kappa=-0.4870 alpha=1.64627343298 q=0.4763378017 psi=1.568009427
kappa=-0.4875 alpha=1.64751192484 q=0.476239241 psi=1.567157143
kappa=-0.4880 alpha=1.6487515363 q=0.4761406617 psi=1.566305193
kappa=-0.4885 alpha=1.64999226849 q=0.4760420639 psi=1.565453577
kappa=-0.4890 alpha=1.65123412258 q=0.4759434474 psi=1.564602295
