N,kappa,alpha,success_rate,n_gaps,mean_gap,alpha_star
401,0.0,0.44,1.0,1056,0.7134,0.8330786
401,0.0,0.47,1.0,1128,0.7082,0.8330786
401,0.0,0.5,0.833,1000,0.7218,0.8330786
401,0.0,0.53,0.333,426,0.6988,0.8330786
401,0.0,0.56,0.167,225,0.7544,0.8330786
401,0.0,0.59,0.0,0,,0.8330786
401,0.0,0.62,0.0,0,,0.8330786
401,0.05,0.44,0.833,880,0.6882,0.7810743
401,0.05,0.47,1.0,1128,0.7059,0.7810743
401,0.05,0.5,0.167,200,0.7738,0.7810743
401,0.05,0.53,0.0,0,,0.7810743
401,0.05,0.56,0.0,0,,0.7810743
401,0.05,0.59,0.0,0,,0.7810743
401,0.05,0.62,0.0,0,,0.7810743
401,0.1,0.44,0.833,880,0.6926,0.7330167
401,0.1,0.47,0.333,376,0.6774,0.7330167
401,0.1,0.5,0.167,200,0.6136,0.7330167
401,0.1,0.53,0.0,0,,0.7330167
401,0.1,0.56,0.0,0,,0.7330167
401,0.1,0.59,0.0,0,,0.7330167
401,0.1,0.62,0.0,0,,0.7330167
