kappa=-0.3910 alpha=1.4279154751 q=0.4949203001 psi=1.737978922
kappa=-0.3915 alpha=1.42895892683 q=0.4948252585 psi=1.737060309
kappa=-0.3920 alpha=1.43000329894 q=0.4947301989 psi=1.736142054
kappa=-0.3925 alpha=1.43104859233 q=0.4946351211 psi=1.735224155
kappa=-0.3930 alpha=1.43209480795 q=0.4945400253 psi=1.734306613
kappa=-0.3935 alpha=1.43314194673 q=0.4944449114 psi=1.733389428
kappa=-0.3940 alpha=1.4341900096 q=0.4943497794 psi=1.732472599
kappa=-0.3945 alpha=1.43523899749 q=0.4942546293 psi=1.731556126
kappa=-0.3950 alpha=1.43628891134 q=0.4941594612 psi=1.73064001
kappa=-0.3955 alpha=1.43733975208 q=0.4940642749 psi=1.729724249
kappa=-0.3960 alpha=1.43839152065 q=0.4939690706 psi=1.728808845
kappa=-0.3965 alpha=1.43944421799 q=0.4938738482 psi=1.727893796
kappa=-0.3970 alpha=1.44049784503 q=0.4937786076 psi=1.726979103
kappa=-0.3975 alpha=1.44155240272 q=0.493683349 psi=1.726064766
kappa=-0.3980 alpha=1.44260789199 q=0.4935880723 psi=1.725150783
kappa=-0.3985 alpha=1.4436643138 q=0.4934927774 psi=1.724237157
kappa=-0.3990 alpha=1.44472166908 q=0.4933974645 psi=1.723323885
kappa=-0.3995 alpha=1.44577995877 q=0.4933021334 psi=1.722410969
kappa=-0.4000 alpha=1.44683918382 q=0.4932067842 psi=1.721498407
kappa=-0.4005 alpha=1.44789934518 q=0.493111417 psi=1.7205862
kappa=-0.4010 alpha=1.44896044379 q=0.4930160315 psi=1.719674348
kappa=-0.4015 alpha=1.45002248061 q=0.492920628 psi=1.718762851
kappa=-0.4020 alpha=1.45108545658 q=0.4928252063 psi=1.717851708
kappa=-0.4025 alpha=1.45214937265 q=0.4927297665 psi=1.716940919
kappa=-0.4030 alpha=1.45321422978 q=0.4926343086 psi=1.716030485
kappa=-0.4035 alpha=1.45428002891 q=0.4925388325 psi=1.715120405
kappa=-0.4040 alpha=1.45534677101 q=0.4924433384 psi=1.714210678
kappa=-0.4045 alpha=1.45641445702 q=0.492347826 psi=1.713301306
kappa=-0.4050 alpha=1.4574830879 q=0.4922522955 psi=1.712392287
kappa=-0.4055 alpha=1.45855266461 q=0.4921567469 psi=1.711483622
kappa=-0.4060 alpha=1.4596231881 q=0.4920611801 psi=1.71057531
kappa=-0.4065 alpha=1.46069465934 q=0.4919655952 psi=1.709667351
kappa=-0.4070 alpha=1.46176707929 q=0.4918699921 psi=1.708759746
kappa=-0.4075 alpha=1.4628404489 q=0.4917743709 psi=1.707852494
kappa=-0.4080 alpha=1.46391476914 q=0.4916787315 psi=1.706945595
kappa=-0.4085 alpha=1.46499004097 q=0.4915830739 psi=1.706039049
kappa=-0.4090 alpha=1.46606626537 q=0.4914873982 psi=1.705132856
kappa=-0.4095 alpha=1.46714344328 q=0.4913917043 psi=1.704227015
kappa=-0.4100 alpha=1.46822157568 q=0.4912959923 psi=1.703321527
kappa=-0.4105 alpha=1.46930066354 q=0.491200262 psi=1.702416391
kappa=-0.4110 alpha=1.47038070783 q=0.4911045136 psi=1.701511607
kappa=-0.4115 alpha=1.47146170952 q=0.491008747 psi=1.700607176
kappa=-0.4120 alpha=1.47254366957 q=0.4909129623 psi=1.699703096
kappa=-0.4125 alpha=1.47362658896 q=0.4908171593 psi=1.698799369
kappa=-0.4130 alpha=1.47471046866 q=0.4907213382 psi=1.697895993
kappa=-0.4135 alpha=1.47579530965 q=0.4906254988 psi=1.696992969
kappa=-0.4140 alpha=1.4768811129 q=0.4905296413 psi=1.696090296
kappa=-0.4145 alpha=1.4779678794 q=0.4904337656 psi=1.695187975
kappa=-0.4150 alpha=1.4790556101 q=0.4903378717 psi=1.694286005
kappa=-0.4155 alpha=1.48014430601 q=0.4902419596 psi=1.693384386
kappa=-0.4160 alpha=1.48123396809 q=0.4901460292 psi=1.692483119
kappa=-0.4165 alpha=1.48232459733 q=0.4900500807 psi=1.691582202
kappa=-0.4170 alpha=1.48341619471 q=0.489954114 psi=1.690681636
kappa=-0.4175 alpha=1.4845087612 q=0.489858129 psi=1.689781421
